#{"t_start": 1731420676.4291213, "env_id": "None"}
r,l,t
0.443048,81,2.447434
0.0,100,3.638269
0.895338,11,3.760323
0.558266,58,4.428703
0.72498,32,4.833912
0.0,100,6.082212
0.629824,46,6.661086
0.0,100,7.935603
0.636185,45,8.499357
0.860058,15,8.68489
0.817907,20,8.936121
0.655659,42,9.474253
0.817907,20,9.732708
0.0,100,10.994893
0.9801,2,11.041096
0.0,100,12.466177
0.860058,15,12.74756
0.696413,36,13.256864
0.629824,46,13.852617
0.0,100,15.284233
0.99,1,15.290329
0.675729,39,15.827881
0.851458,16,16.093163
0.0,100,17.363823
0.696413,36,17.831352
0.932065,7,17.901915
0.563905,57,18.629288
0.913517,9,18.74736
0.696413,36,19.187201
0.0,100,20.584845
0.904382,10,20.712292
0.785678,24,21.132093
0.777821,25,21.455688
0.703448,35,21.967189
0.682555,38,22.49528
0.0,100,23.825579
0.834514,18,24.030641
0.0,100,25.390339
0.0,100,26.701798
0.754719,28,27.060237
0.886385,12,27.20088
0.868746,14,27.400396
0.536268,62,28.210603
0.94148,6,28.283015
0.851458,16,28.486299
0.0,100,29.797623
0.0,100,31.129697
0.0,100,32.508102
0.0,100,33.833773
0.0,100,35.132774
0.826169,19,35.372323
0.777821,25,35.690351
0.922745,8,35.770207
0.717731,33,36.196591
0.675729,39,36.717424
0.95099,5,36.78682
0.762343,27,37.135599
0.611117,49,37.730123
0.0,100,39.178399
0.770043,26,39.505572
0.0,100,40.931323
0.0,100,42.269091
0.732303,31,42.659975
0.0,100,44.044142
0.868746,14,44.248488
0.0,100,45.538239
0.747172,29,45.925837
0.563905,57,46.630974
0.95099,5,46.695641
0.0,100,48.086901
0.0,100,49.435316
0.0,100,50.775172
0.696413,36,51.262737
0.0,100,52.623681
0.72498,32,53.021133
0.886385,12,53.157477
0.932065,7,53.265215
0.682555,38,53.736414
0.826169,19,54.012812
0.0,100,55.316544
0.668972,40,55.839557
0.886385,12,56.016405
0.0,100,57.279776
0.770043,26,57.620855
0.0,100,58.929357
0.703448,35,59.408109
0.801631,22,59.707451
0.801631,22,60.028665
0.703448,35,60.48456
0.99,1,60.491556
0.0,100,61.857393
0.0,100,63.182997
0.61729,48,63.839184
0.0,100,65.256123
0.0,100,66.596105
0.0,100,67.866862
0.0,100,69.33705
0.932065,7,69.440949
0.95099,5,69.500078
0.834514,18,69.712396
0.72498,32,70.171933
0.717731,33,70.562696
0.793614,23,70.855389
0.886385,12,70.98789
0.754719,28,71.339477
0.0,100,72.595256
0.0,100,73.969081
0.960596,4,74.0263
0.868746,14,74.223214
0.434231,83,75.282588
0.696413,36,75.700922
0.0,100,76.907116
0.860058,15,77.086105
0.0,100,78.436715
0.0,100,79.714506
0.94148,6,79.820164
0.710553,34,80.205238
0.0,100,81.491777
0.0,100,82.776275
0.710553,34,83.206104
0.913517,9,83.329734
0.0,100,84.688637
0.710553,34,85.114722
0.0,100,86.420224
0.0,100,87.700654
0.94148,6,87.769959
0.777821,25,88.07471
0.552683,59,88.826801
0.0,100,90.06953
0.834514,18,90.26773
0.0,100,91.517907
0.0,100,92.845184
0.777821,25,93.150179
0.886385,12,93.314525
0.826169,19,93.561126
0.0,100,94.836352
0.7397,30,95.202556
0.99,1,95.207948
0.99,1,95.213324
0.99,1,95.218744
0.970299,3,95.266989
0.0,100,96.514586
0.913517,9,96.628444
0.0,100,97.852028
0.0,100,99.072926
0.904382,10,99.191698
0.575355,55,99.896867
0.895338,11,100.017717
0.0,100,101.420045
0.801631,22,101.684022
0.801631,22,102.001935
0.0,100,103.310052
0.770043,26,103.629082
0.922745,8,103.711681
0.452044,79,104.735783
0.0,100,106.031642
0.732303,31,106.464077
0.509986,67,107.339331
0.0,100,108.744467
0.860058,15,108.924212
0.0,100,110.174726
0.717731,33,110.581772
0.0,100,111.845158
0.717731,33,112.257378
0.0,100,113.53942
0.0,100,115.009676
0.40882,89,116.172001
0.785678,24,116.499045
0.0,100,117.773829
0.710553,34,118.209963
0.0,100,119.53298
0.842943,17,119.788872
0.932065,7,119.870165
0.860058,15,120.07073
0.0,100,121.473234
0.904382,10,121.610376
0.809728,21,121.892144
0.817907,20,122.206241
0.0,100,123.679988
0.0,100,124.94392
0.0,100,126.255448
0.0,100,127.687041
0.834514,18,127.960654
0.922745,8,128.069745
0.682555,38,128.566367
0.0,100,129.84252
0.970299,3,129.893243
0.0,100,131.21243
0.0,100,132.42153
0.932065,7,132.49168
0.0,100,133.730284
0.0,100,135.074302
0.904382,10,135.193213
0.0,100,136.404677
0.99,1,136.410318
0.0,100,137.614345
0.754719,28,137.961564
0.754719,28,138.30873
0.826169,19,138.511455
0.922745,8,138.621764
0.99,1,138.627257
0.655659,42,139.160845
0.7397,30,139.521991
0.851458,16,139.706103
0.913517,9,139.820838
0.605006,50,140.411082
0.642612,44,140.900275
0.0,100,142.092274
0.0,100,143.281345
0.0,100,144.473839
0.0,100,145.679528
0.0,100,146.864469
0.809728,21,147.145086
0.970299,3,147.162034
0.0,100,148.355244
0.777821,25,148.660784
0.0,100,149.860106
0.0,100,151.081971
0.717731,33,151.494867
0.0,100,152.680806
0.0,100,153.873342
0.0,100,155.062161
0.777821,25,155.390836
0.801631,22,155.644401
0.0,100,156.829084
0.0,100,158.031489
0.0,100,159.228883
0.0,100,160.418708
0.0,100,161.618512
0.0,100,162.804395
0.732303,31,163.179468
0.886385,12,163.343762
0.696413,36,163.776155
0.710553,34,164.185364
0.0,100,165.379216
0.452044,79,166.331074
0.0,100,167.556436
0.95099,5,167.614773
0.649103,43,168.10742
0.598956,51,168.71542
0.0,100,169.916426
0.754719,28,170.262053
0.809728,21,170.507209
0.851458,16,170.689375
0.809728,21,170.965014
0.762343,27,171.268783
0.0,100,172.464632
0.868746,14,172.637654
0.913517,9,172.753819
0.0,100,173.954444
0.662282,41,174.433395
0.0,100,175.638623
0.61729,48,176.195651
0.9801,2,176.238306
0.0,100,177.428346
0.785678,24,177.71986
0.777821,25,178.020158
0.0,100,179.237235
0.9801,2,179.248163
0.801631,22,179.503298
0.0,100,180.69666
0.0,100,181.892848
0.552683,59,182.594413
0.710553,34,183.005422
0.0,100,184.199256
0.0,100,185.435078
0.9801,2,185.446431
0.0,100,186.643075
0.0,100,187.838682
0.801631,22,188.121041
0.0,100,189.316595
0.94148,6,189.379998
0.0,100,190.582057
0.0,100,191.774161
0.95099,5,191.834326
0.563905,57,192.502389
0.0,100,193.712364
0.834514,18,193.94177
0.970299,3,193.992805
0.801631,22,194.241422
0.0,100,195.50818
0.675729,39,196.050781
0.747172,29,196.404981
0.0,100,197.595033
0.834514,18,197.79704
0.904382,10,197.913929
0.717731,33,198.326465
0.0,100,199.531413
0.668972,40,200.01668
0.868746,14,200.192287
0.970299,3,200.209168
0.61729,48,200.793219
0.801631,22,201.04288
0.913517,9,201.156638
0.0,100,202.386106
0.95099,5,202.444992
0.851458,16,202.626168
0.793614,23,202.912274
0.793614,23,203.19595
0.710553,34,203.61155
0.770043,26,203.916351
0.913517,9,204.028073
0.868746,14,204.209874
0.793614,23,204.493105
0.710553,34,204.87793
0.732303,31,205.27277
0.0,100,206.466253
0.95099,5,206.526303
0.0,100,207.718215
0.0,100,208.916457
0.970299,3,208.932581
0.860058,15,209.107334
0.0,100,210.307899
0.0,100,211.510265
0.0,100,212.725559
0.9801,2,212.76834
0.0,100,213.963133
0.0,100,215.156393
0.668972,40,215.635221
0.886385,12,215.766243
0.0,100,216.956069
0.682555,38,217.426318
0.732303,31,217.785509
0.868746,14,217.963241
0.0,100,219.162629
0.868746,14,219.30152
0.762343,27,219.64524
0.877521,13,219.780055
0.655659,42,220.306638
0.0,100,221.526985
0.913517,9,221.638871
0.575355,55,222.294784
0.94148,6,222.360029
0.95099,5,222.418725
0.0,100,223.628658
0.0,100,224.829937
0.0,100,226.026063
0.904382,10,226.144482
0.0,100,227.343135
0.877521,13,227.478692
0.0,100,228.683477
0.0,100,229.910264
0.0,100,231.108156
0.732303,31,231.500874
0.0,100,232.695347
0.826169,19,232.8985
0.9801,2,232.941877
0.662282,41,233.416995
