#{"t_start": 1732621028.0854716, "env_id": "None"}
r,l,t
0.377237,97,4.903309
0.0,100,6.122459
0.0,100,7.332872
0.0,100,8.538645
0.0,100,9.743419
0.886385,12,9.880885
0.0,100,11.115752
0.0,100,12.329122
0.366032,100,13.537108
0.0,100,14.827929
0.0,100,16.102343
0.754719,28,16.449736
0.605006,50,17.049342
0.0,100,18.249224
0.868746,14,18.424292
0.94148,6,18.493087
0.525596,64,19.279994
0.895338,11,19.405756
0.563905,57,20.073032
0.868746,14,20.242145
0.563905,57,20.94809
0.536268,62,21.713979
0.384896,95,22.867537
0.860058,15,23.05113
0.662282,41,23.546895
0.611117,49,24.132499
0.877521,13,24.267754
0.7397,30,24.635691
0.877521,13,24.805778
0.732303,31,25.178435
0.515137,66,25.969399
0.770043,26,26.304034
0.530906,63,27.069714
0.777821,25,27.372345
0.0,100,28.928422
0.970299,3,28.982754
0.895338,11,29.105854
0.0,100,30.321973
0.777821,25,30.677797
0.0,100,31.889583
0.0,100,33.101644
0.623525,47,33.661928
0.484991,72,34.609586
0.904382,10,34.769589
0.809728,21,35.060277
0.770043,26,35.396261
0.0,100,36.724602
0.0,100,38.024227
0.377237,97,39.303275
0.0,100,40.511358
0.675729,39,41.02379
0.0,100,42.403712
0.61729,48,43.050434
0.0,100,44.501252
0.0,100,45.740077
0.0,100,47.299461
0.0,100,48.840474
0.0,100,50.274391
0.877521,13,50.447724
0.0,100,51.874591
0.7397,30,52.367962
0.932065,7,52.450517
0.94148,6,52.517863
0.0,100,53.797666
0.860058,15,53.991657
0.777821,25,54.297826
0.717731,33,54.714545
0.682555,38,55.182562
0.0,100,56.416499
0.0,100,57.753018
0.826169,19,58.090495
0.0,100,59.522557
0.95099,5,59.5849
0.913517,9,59.699855
0.629824,46,60.252007
0.904382,10,60.372047
0.801631,22,60.656998
0.581166,54,61.280473
0.0,100,62.506221
0.851458,16,62.724611
0.960596,4,62.746536
0.960596,4,62.800144
0.581166,54,63.472545
0.682555,38,63.94774
0.913517,9,64.02941
0.732303,31,64.429351
0.785678,24,64.69153
0.696413,36,65.151626
0.0,100,66.367021
0.895338,11,66.489994
0.0,100,67.753386
0.826169,19,68.003885
0.99,1,68.010472
0.0,100,69.251157
0.0,100,70.444637
0.642612,44,70.982343
0.598956,51,71.597567
0.826169,19,71.828014
0.0,100,73.034185
0.36973,99,74.250115
0.9801,2,74.29565
0.0,100,75.492435
0.0,100,76.696241
0.0,100,77.904353
0.932065,7,77.974213
0.0,100,79.19458
0.0,100,80.490964
0.662282,41,81.035771
0.842943,17,81.268264
