#{"t_start": 1732616185.1493669, "env_id": "None"}
r,l,t
0.0,100,3.590443
0.0,100,5.039351
0.0,100,6.53351
0.0,100,7.958142
0.0,100,9.318499
0.0,100,10.784099
0.536268,62,11.60773
0.377237,97,12.9021
0.0,100,14.225347
0.0,100,15.530998
0.0,100,16.949708
0.0,100,18.262651
0.494839,70,19.263094
0.0,100,20.663582
0.717731,33,21.183616
0.0,100,22.815221
0.877521,13,22.952138
0.0,100,24.2512
0.47534,74,25.273315
0.0,100,26.653989
0.649103,43,27.331444
0.649103,43,27.934788
0.0,100,29.398823
0.842943,17,29.652204
0.817907,20,29.962033
0.0,100,31.554904
0.801631,22,31.834189
0.9801,2,31.882889
0.0,100,33.327037
0.629824,46,33.943948
0.696413,36,34.426564
0.443048,81,35.556073
0.970299,3,35.615666
0.0,100,36.984788
0.0,100,38.289496
0.886385,12,38.427766
0.932065,7,38.53259
0.0,100,39.880776
0.668972,40,40.393792
0.0,100,41.794188
0.515137,66,42.86189
0.452044,79,43.922761
0.9801,2,43.933868
0.809728,21,44.202624
0.785678,24,44.54149
0.868746,14,44.719856
0.826169,19,44.963292
0.0,100,46.26482
0.0,100,47.800786
0.0,100,49.089142
0.0,100,50.512638
0.404732,90,51.739546
0.373464,98,53.083369
0.0,100,54.570573
0.732303,31,54.980633
0.0,100,56.433271
0.860058,15,56.743536
0.842943,17,57.087798
0.0,100,58.760391
0.366032,100,60.077983
0.655659,42,60.64294
0.0,100,61.987771
0.0,100,63.322735
0.0,100,64.66335
0.636185,45,65.2548
0.0,100,66.718075
0.0,100,68.049069
0.675729,39,68.559438
0.0,100,69.86385
0.0,100,71.124061
0.801631,22,71.379065
0.0,100,72.710294
0.0,100,74.000345
0.0,100,75.260223
0.592966,52,75.942731
0.72498,32,76.371942
0.392711,93,77.724006
0.970299,3,77.750996
0.793614,23,78.087091
0.569601,56,78.906995
0.770043,26,79.246598
0.0,100,80.585682
0.7397,30,80.966844
0.0,100,82.302825
0.754719,28,82.666502
0.9801,2,82.678481
0.710553,34,83.130176
0.747172,29,83.527444
0.762343,27,83.880954
0.0,100,85.439127
0.447523,80,86.614487
0.834514,18,86.919574
0.42559,85,88.305639
0.851458,16,88.513589
0.0,100,89.889769
0.703448,35,90.358085
0.0,100,91.71507
0.0,100,93.104168
0.0,100,94.413299
0.649103,43,95.00416
0.0,100,96.332483
0.0,100,97.729926
0.377237,97,98.965153
0.801631,22,99.278266
0.895338,11,99.41903
0.747172,29,99.820514
0.877521,13,99.989813
0.860058,15,100.181832
0.732303,31,100.562276
0.904382,10,100.693087
0.960596,4,100.759856
0.94148,6,100.837074
0.886385,12,101.023765
0.452044,79,102.084682
0.886385,12,102.234985
0.0,100,103.602327
0.99,1,103.60801
0.960596,4,103.673702
0.575355,55,104.430637
0.860058,15,104.614673
0.860058,15,104.806092
0.868746,14,104.997272
0.0,100,106.310202
0.868746,14,106.517556
0.932065,7,106.59859
0.877521,13,106.780562
0.598956,51,107.463328
0.662282,41,108.038303
0.48989,71,108.968871
0.0,100,110.581784
0.913517,9,110.714991
0.0,100,112.075846
0.932065,7,112.154117
0.438618,82,113.276288
0.877521,13,113.432997
0.895338,11,113.608907
0.558266,58,114.349477
0.801631,22,114.653499
0.99,1,114.659117
0.877521,13,114.814754
0.877521,13,114.987672
0.7397,30,115.384038
0.826169,19,115.631438
0.817907,20,115.893289
0.732303,31,116.311238
0.877521,13,116.507946
0.438618,82,117.587137
0.94148,6,117.656159
0.922745,8,117.767219
0.470587,75,118.737602
0.777821,25,119.063684
0.904382,10,119.188417
0.682555,38,119.664478
0.480141,73,120.670481
0.970299,3,120.72399
0.0,100,122.094223
0.793614,23,122.409449
0.0,100,123.818973
0.41295,88,125.021728
0.668972,40,125.535478
0.7397,30,125.931441
0.860058,15,126.153265
0.598956,51,126.877995
0.0,100,128.216076
0.970299,3,128.292942
0.48989,71,129.28378
0.452044,79,130.351057
0.860058,15,130.549967
0.777821,25,130.885171
0.0,100,132.228661
0.710553,34,132.723778
0.9801,2,132.773803
0.793614,23,133.086142
0.860058,15,133.294771
0.547157,60,134.09985
0.36973,99,135.407109
0.851458,16,135.598122
0.94148,6,135.704857
0.636185,45,136.280498
0.0,100,137.581898
0.895338,11,137.735655
0.886385,12,137.87729
0.851458,16,138.087874
0.649103,43,138.697733
0.809728,21,139.001019
0.868746,14,139.208176
0.7397,30,139.615899
0.95099,5,139.677246
0.868746,14,139.86958
0.754719,28,140.213374
0.642612,44,140.820787
0.801631,22,141.127445
0.429889,84,142.200582
0.655659,42,142.810129
0.960596,4,142.866365
0.785678,24,143.145549
0.552683,59,143.910496
0.747172,29,144.283229
0.629824,46,144.89523
0.785678,24,145.217618
0.777821,25,145.542669
0.842943,17,145.750861
0.809728,21,146.065821
0.72498,32,146.466129
0.970299,3,146.543905
0.809728,21,146.85431
0.689449,37,147.323513
0.689449,37,147.835264
0.817907,20,148.100267
0.95099,5,148.160058
0.377237,97,149.375667
0.9801,2,149.387321
0.762343,27,149.776245
0.932065,7,149.849518
0.7397,30,150.223106
0.895338,11,150.398046
0.94148,6,150.499142
0.826169,19,150.70112
0.732303,31,151.140934
0.834514,18,151.343982
0.886385,12,151.524909
0.0,100,152.830575
0.770043,26,153.190073
0.400685,91,154.686418
0.7397,30,155.127129
0.904382,10,155.279109
0.817907,20,155.599018
0.642612,44,156.340969
0.913517,9,156.476022
0.443048,81,157.576015
0.817907,20,157.860622
0.851458,16,158.098274
0.525596,64,158.938992
0.99,1,158.945848
0.421334,86,160.204874
