#{"t_start": 1733424794.9704883, "env_id": "None"}
r,l,t
0.0,100,2.311874
0.0,100,3.537355
0.0,100,4.723962
0.970299,3,4.77630.0,0.0,100,5.95650.0,100,7.151875
0.605006,50,7.74978
0.4430.0,100,8.822975
00.0,100,10.0006660.0.0,100,11.1782990.0.0,100,12.3568450.0.0,100,13.6543310.0.0,100,14.8479030.0.0,100,16.03858
00.0,100,17.246579
00.0,100,18.422907
00.0,100,19.634114
00.0,100,20.807464
00.0,100,22.005798
00.480141,73,22.849414
00.438618,82,23.832113
0.0,100,25.007803
0.0,100,26.191189
0.0,100,27.374691
0.0,100,28.547924
0.0,100,29.730993
0.0,100,30.903088
0.0,100,32.097931
0.0,100,33.272885
0.932065,7,33.344821
0.0,100,34.526191
0.0,100,35.69416
0.0,100,36.884809
0.94148,6,36.985006
0.0,100,38.154445
0.0,100,39.327114
0.0,100,40.498424
0.0,100,41.679925
0.0,100,43.067556
0.0,100,44.255846
0.0,100,45.43582
0.0,100,46.618747
0.0,100,47.806466
0.0,100,48.989285
0.809728,21,49.263018
0.777821,25,49.5557440.0.0,100,50.722199
0.0,100,51.909117
0.0,100,53.082058
0.0,100,54.255287
0.0,100,55.390826
0.0,100,56.596287
0.0,100,57.770538
0.0,100,58.935305
0.0,100,60.114885
0.0,100,61.299813
0.0,100,62.481737
0.0,100,63.662517
0.515137,66,64.431179
0.0,100,65.616174
0.0,100,66.804854
0.0,100,67.987788
0.0,100,69.161328
0.826169,19,69.390.0,100.0,100,70.560.0,100.504886,68,70.0,100,720.0,100,70.0,100,730.0,100,70.0,100,750.0,100,70.0,100,760.0,100,70.536268,0.0,100,77.5050.0,10.0,100,78.6900.0,10.0,100,79.8520.0,10.0,100,81.0250.0,10.0,100,82.210.0,100.0,100,83.380.58700.0,100,84.5749430.0.447523,80,85.515935
0.970299,3,85.50.0,1000.0,100,86.70.0,1000.0,100,87.90.0,1000.623525,470.0,100,89.50.0,1000.0,100,90.0.0,100,0.0,100,91.0.0,100,0.0,100,93.0.0,100,0.0,100,94.0.0,100,0.0,100,95.433198
0.9801,2,95.444238
0.396678,92,96.57078
0.826169,19,96.766042
0.0,100,97.946781
0.0,100,99.121179
0.0,100,100.291893
0.0,100,101.472144
0.0,100,102.735142
0.515137,66,103.615187
0.0,100,104.810031
0.747172,29,105.1210.4250.0,100,106.2980080.0.0,100,107.480933
0.0,100,108.674699
0.9801,2,108.722893
0.623525,47,109.3130520.0.0,100,110.546469
0.649103,43,111.154727
0.0,100,112.429126
0.0,100,113.747661
0.400685,91,114.946998
0.0,100,116.304328
0.95099,5,116.371655
0.0,100,117.782284
0.404732,90,118.972415
0.0,100,120.183854
0.0,100,121.384037
0.0,100,122.576984
0.0,100,123.760381
0.0,100,125.01539
0.0,100,126.256909
0.0,100,127.662732
0.0,100,129.023042
0.0,100,130.393213
0.0,100,131.959691
0.0,100,133.471095
0.530906,63,134.318242
0.384896,95,135.870188
0.400685,91,137.288219
0.0,100,139.189148
0.0,100,140.654891
0.99,1,140.661422
0.0,100,141.982931
0.0,100,143.193254
0.611117,49,143.85428
0.0,100,145.209202
0.72498,32,145.593791
0.703448,35,146.00665
0.0,100,147.212228
0.0,100,148.759798
0.0,100,150.130917
0.0,100,151.321248
0.563905,57,152.020428
0.452044,79,152.958298
0.0,100,154.145081
0.9801,2,154.189955
0.0,100,155.376421
0.41295,88,156.402317
0.0,100,157.599048
0.0,100,158.786789
0.0,100,159.966512
0.0,100,161.153864
0.0,100,162.342982
0.0,100,163.532399
0.0,100,164.714392
0.0,100,165.903056
0.0,100,167.317075
0.0,100,168.885007
0.438618,82,169.878931
0.0,100,171.453306
0.0,100,172.682073
0.0,100,173.861817
0.0,100,175.057142
0.826169,19,175.287359
0.0,100,176.481619
0.0,100,177.677832
0.36973,99,178.819988
0.0,100,180.005048
0.0,100,181.206055
0.417121,87,182.25885
0.611117,49,182.84470.00.0,100,184.02500.720.0,100,185.200156
0.0,100,186.389557
0.0,100,187.582424
0.504886,68,188.365029
0.0,100,189.597105
0.0,100,190.774088
0.0,100,191.986599
0.0,100,193.168052
0.868746,14,193.3400150.0.0,100,194.4958310.0.754719,28,194.8328250.0.0,100,196.0276660.0.0,100,197.28947
0.0,100,198.802015
0.0,100,199.991675
0.0,100,201.164593
0.0,100,202.344853
0.50.0,100,203.124642
0.0,100,204.31107
0.0,100,205.468971
0.0,100,206.71574
0.592966,52,207.368283
0.0,100,208.55646
0.94148,6,208.653965
