#{"t_start": 1732618044.9720166, "env_id": "None"}
r,l,t
0.0,100,6.692685
0.970299,3,6.76103
0.0,100,8.458713
0.0,100,10.150351
0.0,100,11.845022
0.0,100,13.502353
0.9801,2,13.515182
0.0,100,15.215993
0.45661,78,16.567924
0.9801,2,16.58911
0.0,100,18.268748
0.447523,80,19.817196
0.0,100,21.739352
0.0,100,23.609849
0.569601,56,25.099357
0.0,100,27.71922
0.0,100,30.805142
0.826169,19,31.256307
0.0,100,33.714646
0.421334,86,35.562179
0.842943,17,35.880038
0.886385,12,36.108257
0.0,100,38.170642
0.0,100,40.223135
0.960596,4,40.321653
0.649103,43,41.319418
0.932065,7,41.447458
0.72498,32,42.144288
0.0,100,44.285444
0.95099,5,44.391255
0.72498,32,45.006793
0.377237,97,46.802551
0.0,100,48.452623
0.0,100,49.972569
0.558266,58,50.853158
0.0,100,52.343593
0.895338,11,52.49341
0.732303,31,52.950302
0.0,100,54.520335
0.842943,17,54.800302
0.0,100,56.313014
0.932065,7,56.399457
0.0,100,58.088464
0.895338,11,58.294742
0.877521,13,58.604691
0.895338,11,58.876622
0.470587,75,60.062927
0.569601,56,60.922642
0.809728,21,61.284717
0.94148,6,61.369698
0.793614,23,61.709908
0.860058,15,61.936534
0.0,100,63.45627
0.817907,20,63.740055
0.94148,6,63.865359
0.0,100,65.348387
0.682555,38,65.890722
0.0,100,67.43628
0.99,1,67.442784
0.777821,25,67.851882
0.0,100,69.351026
0.61729,48,70.085042
0.0,100,71.685404
0.777821,25,72.052353
0.793614,23,72.421577
0.770043,26,72.785712
0.793614,23,73.109552
0.0,100,74.601584
0.717731,33,75.138596
0.0,100,76.65551
0.913517,9,76.802841
0.9801,2,76.816075
0.649103,43,77.485394
0.801631,22,77.812696
0.0,100,79.329458
0.809728,21,79.65342
0.0,100,81.157903
0.47534,74,82.44798
0.682555,38,83.275753
0.94148,6,83.39479
0.0,100,85.497519
0.904382,10,85.706881
0.95099,5,85.806953
0.0,100,88.0247
0.509986,67,89.711508
0.0,100,91.7181
0.754719,28,92.304224
0.0,100,94.180389
0.434231,83,95.790137
0.629824,46,96.706132
0.877521,13,96.935949
0.0,100,98.881485
0.0,100,100.851417
0.563905,57,101.996259
0.99,1,102.005166
0.0,100,103.868706
0.0,100,105.894185
0.762343,27,106.415337
0.922745,8,106.617289
0.0,100,108.51396
0.834514,18,108.871805
0.877521,13,109.098047
0.611117,49,109.99617
0.675729,39,110.770178
0.95099,5,110.868364
0.913517,9,111.065063
0.655659,42,111.857255
0.877521,13,112.11314
0.0,100,114.088396
0.877521,13,114.314885
0.587037,53,115.378057
0.0,100,117.337671
0.842943,17,117.652896
0.623525,47,118.831808
0.429889,84,120.620672
0.777821,25,121.104847
0.94148,6,121.267866
0.762343,27,121.779439
0.801631,22,122.199728
0.668972,40,122.980917
0.777821,25,123.449391
0.770043,26,124.014655
0.0,100,125.902153
0.7397,30,126.511241
0.793614,23,126.916058
0.868746,14,127.192486
0.747172,29,127.760409
0.0,100,129.702311
0.629824,46,130.595326
0.0,100,132.541974
0.0,100,134.392359
0.904382,10,134.56451
0.710553,34,135.25474
0.0,100,137.37155
0.0,100,139.321901
0.72498,32,139.873496
0.754719,28,140.391348
0.0,100,142.301389
0.801631,22,142.713655
0.41295,88,144.37081
0.0,100,146.27515
0.0,100,148.355246
0.886385,12,148.595522
0.0,100,150.688186
0.793614,23,151.161444
0.662282,41,151.933087
0.0,100,153.85226
0.960596,4,153.939263
0.747172,29,154.486183
0.558266,58,155.606482
0.7397,30,156.172233
0.94148,6,156.272787
0.777821,25,156.744071
0.0,100,158.589443
0.0,100,160.559386
0.960596,4,160.651476
0.970299,3,160.724576
0.7397,30,161.310351
0.0,100,163.161546
0.0,100,165.016055
0.9801,2,165.033732
0.94148,6,165.156682
0.793614,23,165.682716
0.970299,3,165.759732
0.793614,23,166.206412
0.877521,13,166.484979
0.0,100,168.318307
0.0,100,170.20487
0.0,100,172.044358
0.61729,48,172.944134
0.0,100,174.843843
0.0,100,177.263026
0.569601,56,178.761563
0.0,100,181.011594
0.0,100,182.987684
0.0,100,184.919402
0.94148,6,185.022025
0.0,100,186.910111
0.99,1,186.916489
0.922745,8,187.063155
0.904382,10,187.25921
0.826169,19,187.635565
0.0,100,189.842336
0.0,100,191.900621
0.0,100,193.987961
0.817907,20,194.462469
0.0,100,196.604089
0.649103,43,197.437651
0.710553,34,198.027266
0.0,100,199.896003
0.0,100,201.792482
0.72498,32,202.399758
0.0,100,204.085534
0.851458,16,204.362424
0.99,1,204.416133
0.504886,68,205.508547
0.960596,4,205.578719
0.877521,13,205.80834
0.623525,47,206.657628
0.0,100,208.665858
0.0,100,210.693462
0.623525,47,211.519203
0.0,100,213.369919
0.0,100,215.192738
0.0,100,216.911386
0.0,100,218.686641
0.99,1,218.740553
0.636185,45,219.537382
0.0,100,221.359505
0.809728,21,221.757559
0.0,100,223.528185
0.587037,53,224.395409
0.72498,32,224.951025
0.0,100,226.675198
0.922745,8,226.808715
0.801631,22,227.30016
0.689449,37,227.934702
0.0,100,229.719187
0.747172,29,230.206862
0.655659,42,230.887383
0.834514,18,231.238331
0.895338,11,231.474523
0.0,100,233.381041
0.689449,37,234.039284
0.0,100,235.724471
0.0,100,237.553868
0.895338,11,237.779716
0.834514,18,238.172359
0.629824,46,239.39195
0.868746,14,239.62474
0.9801,2,239.692898
0.0,100,241.625914
0.904382,10,241.805931
0.842943,17,242.116335
0.0,100,243.813073
0.682555,38,244.418452
0.94148,6,244.50321
0.785678,24,244.861684
0.913517,9,245.022348
0.0,100,246.896102
0.0,100,248.594002
0.675729,39,249.307524
0.0,100,251.353964
0.0,100,253.763208
0.649103,43,254.741325
0.0,100,257.008344
0.0,100,259.417924
0.605006,50,260.552356
0.0,100,262.567935
0.970299,3,262.642465
0.717731,33,263.271456
0.0,100,265.196845
0.0,100,267.260054
0.0,100,269.613155
0.0,100,271.574659
0.0,100,273.719199
0.0,100,275.824283
0.0,100,277.828238
0.655659,42,278.666094
0.509986,67,279.917432
0.0,100,281.990476
0.0,100,284.267323
0.860058,15,284.63673
0.94148,6,284.755852
0.817907,20,285.194675
0.0,100,287.455933
0.732303,31,288.108285
0.0,100,290.183835
0.0,100,292.266271
0.0,100,294.333182
0.754719,28,294.919496
0.770043,26,295.418189
0.0,100,297.404124
0.536268,62,299.039408
0.552683,59,300.305495
0.629824,46,301.289575
0.851458,16,301.604086
0.913517,9,301.780326
0.0,100,303.873908
0.895338,11,304.072673
0.851458,16,304.38948
0.834514,18,304.756201
0.0,100,306.805253
0.0,100,308.977444
0.826169,19,309.369547
0.0,100,311.616241
0.754719,28,312.265986
0.703448,35,312.999238
0.817907,20,313.422092
0.809728,21,313.874494
0.762343,27,314.461262
0.0,100,316.623919
0.877521,13,316.854913
0.494839,70,318.210989
0.95099,5,318.324921
0.452044,79,319.889069
0.877521,13,320.223082
0.0,100,322.23632
0.0,100,324.204185
0.552683,59,325.326546
0.0,100,327.372358
0.0,100,329.818224
0.717731,33,330.496367
0.447523,80,332.138604
0.9801,2,332.163967
0.0,100,334.199598
0.785678,24,334.736072
0.0,100,336.868011
0.0,100,338.995331
0.558266,58,340.314995
0.777821,25,340.842969
0.0,100,343.149324
0.0,100,344.761809
0.0,100,346.265038
0.777821,25,346.647466
0.547157,60,347.490097
0.61729,48,348.132375
0.592966,52,348.883595
0.0,100,350.29807
0.703448,35,350.804536
0.932065,7,350.887363
0.0,100,352.411359
0.0,100,353.824665
0.817907,20,354.093307
0.0,100,355.490465
0.563905,57,356.286919
0.0,100,358.280769
0.547157,60,360.040936
0.0,100,362.194978
0.0,100,364.475831
0.0,100,366.540038
0.0,100,368.500618
0.558266,58,369.609148
0.904382,10,369.81572
0.801631,22,370.27968
0.484991,72,371.75806
0.842943,17,372.077027
0.689449,37,372.87042
0.886385,12,373.088246
0.801631,22,373.567103
0.826169,19,373.901076
0.0,100,376.060671
0.0,100,378.424968
0.895338,11,378.723657
0.960596,4,378.761691
0.747172,29,379.417513
0.0,100,381.536789
0.95099,5,381.643752
0.0,100,383.757201
0.0,100,385.820197
0.895338,11,386.036019
0.785678,24,386.537017
0.0,100,388.838391
0.0,100,391.155865
0.0,100,393.277673
0.0,100,395.285163
0.0,100,397.402256
0.747172,29,398.042994
0.0,100,400.080306
0.703448,35,400.809068
0.0,100,402.894079
0.754719,28,403.503703
0.0,100,405.574146
0.649103,43,406.463783
0.817907,20,406.858018
0.860058,15,407.17121
0.0,100,409.169623
0.0,100,411.149742
0.0,100,413.151694
0.682555,38,413.934427
0.793614,23,414.392542
0.0,100,416.487036
0.710553,34,417.238576
0.0,100,419.80698
0.793614,23,420.309512
0.417121,87,422.126884
0.868746,14,422.431928
0.868746,14,422.711118
0.0,100,424.783371
0.0,100,426.787311
0.0,100,428.841578
0.834514,18,429.173943
0.94148,6,429.340615
0.0,100,431.370209
0.754719,28,431.891553
0.817907,20,432.298744
0.94148,6,432.4175
0.592966,52,433.488353
0.0,100,435.68727
0.762343,27,436.241544
0.886385,12,436.583898
0.860058,15,436.925707
0.509986,67,438.302898
0.0,100,440.372398
0.0,100,442.464095
0.0,100,444.620258
0.0,100,446.76445
0.668972,40,447.65811
0.809728,21,448.172905
0.842943,17,448.680459
0.0,100,451.09245
0.623525,47,452.012414
0.817907,20,452.428441
0.762343,27,452.969168
0.785678,24,453.470195
0.754719,28,454.06384
0.913517,9,454.254457
0.0,100,456.32023
0.922745,8,456.449655
0.817907,20,456.852186
0.0,100,458.885787
0.642612,44,459.753413
0.0,100,461.772446
0.0,100,463.807614
0.623525,47,464.71163
0.0,100,466.807389
0.99,1,466.876483
0.99,1,466.885219
0.0,100,468.8829
0.0,100,470.884925
0.860058,15,471.184969
0.0,100,473.201221
0.649103,43,474.057121
0.0,100,476.095957
0.0,100,478.498403
0.642612,44,479.763373
0.747172,29,480.397221
0.504886,68,481.870466
0.94148,6,481.983139
0.0,100,484.011374
0.0,100,485.987234
0.0,100,488.027242
0.611117,49,489.029166
0.0,100,491.092112
0.801631,22,491.512784
0.0,100,493.48764
0.0,100,495.577488
0.9801,2,495.595193
0.611117,49,496.706698
0.94148,6,496.812451
0.754719,28,497.389273
0.904382,10,497.589045
0.99,1,497.599752
0.970299,3,497.683076
0.0,100,499.689817
0.0,100,501.681933
0.0,100,503.635818
0.868746,14,503.934193
0.0,100,505.834432
0.520341,65,507.118288
0.851458,16,507.432114
0.0,100,510.01089
0.717731,33,510.631339
0.717731,33,511.317153
0.689449,37,512.077197
0.696413,36,512.847457
0.932065,7,512.954544
0.7397,30,513.549025
0.0,100,515.70583
0.960596,4,515.805155
0.541685,61,517.35857
0.0,100,519.496583
0.868746,14,519.801394
0.649103,43,520.610304
0.94148,6,520.777423
0.0,100,522.823575
0.0,100,524.837703
0.689449,37,525.52196
0.754719,28,526.189667
0.605006,50,527.280157
0.94148,6,527.39413
0.61729,48,528.372426
0.777821,25,528.903329
0.0,100,531.03024
0.868746,14,531.318167
0.777821,25,531.850147
0.0,100,533.896904
0.0,100,535.933929
0.0,100,538.102594
0.0,100,540.646215
0.0,100,542.820147
0.689449,37,543.633039
0.826169,19,543.967764
0.809728,21,544.440185
0.434231,83,546.086209
0.0,100,548.137081
0.868746,14,548.427564
