#{"t_start": 1731462369.5864723, "env_id": "None"}
r,l,t
0.0,100,3.114666
0.99,1,3.166283
0.0,100,4.460701
0.0,100,5.693205
0.0,100,6.948392
0.809728,21,7.228261
0.0,100,8.554035
0.0,100,9.955628
0.629824,46,10.712346
0.0,100,11.99633
0.703448,35,12.425104
0.785678,24,12.723123
0.0,100,14.275577
0.592966,52,14.940151
0.0,100,16.457876
0.649103,43,17.026051
0.689449,37,17.46083
0.95099,5,17.542559
0.0,100,18.900655
0.754719,28,19.296041
0.960596,4,19.348901
0.649103,43,19.897312
0.0,100,21.382078
0.0,100,22.713835
0.817907,20,22.982527
0.777821,25,23.371907
0.7397,30,23.804717
0.0,100,25.306265
0.0,100,26.61772
0.913517,9,26.730742
0.504886,68,27.707431
0.970299,3,27.725292
0.817907,20,27.977818
0.0,100,29.290779
0.94148,6,29.359362
0.0,100,30.680485
0.0,100,31.999911
0.826169,19,32.233571
0.0,100,33.459181
0.0,100,34.706893
0.0,100,36.022847
0.552683,59,36.860172
0.536268,62,37.705204
0.575355,55,38.411539
0.0,100,39.946565
0.494839,70,41.09986
0.0,100,42.454282
0.895338,11,42.615816
0.94148,6,42.684264
0.904382,10,42.85899
0.0,100,44.070681
0.7397,30,44.437821
0.41295,88,45.478262
0.932065,7,45.580121
0.581166,54,46.236461
0.0,100,47.425956
0.0,100,48.620299
0.754719,28,48.972161
0.0,100,50.186894
0.696413,36,50.60853
0.785678,24,50.903887
0.777821,25,51.198257
0.732303,31,51.565786
0.932065,7,51.692225
0.777821,25,51.991376
0.717731,33,52.361052
0.0,100,53.553341
0.0,100,54.758323
0.970299,3,54.808038
0.0,100,55.990804
0.530906,63,56.754774
0.0,100,57.940791
0.747172,29,58.263259
0.0,100,59.457011
0.877521,13,59.628532
0.0,100,60.84486
0.0,100,62.087804
0.801631,22,62.339655
0.0,100,63.548342
0.0,100,64.748862
0.0,100,65.937273
0.0,100,67.135174
0.0,100,68.321395
0.0,100,69.521425
0.611117,49,70.101135
0.922745,8,70.205253
0.834514,18,70.398698
0.0,100,71.586542
0.886385,12,71.749799
0.777821,25,72.054169
0.536268,62,72.8015
0.747172,29,73.167598
0.922745,8,73.276994
0.868746,14,73.416084
0.0,100,74.612538
0.696413,36,75.067085
0.747172,29,75.384899
0.785678,24,75.673315
0.895338,11,75.795352
0.581166,54,76.445859
0.0,100,77.64053
0.0,100,78.882164
0.886385,12,79.046346
0.922745,8,79.123698
0.785678,24,79.415016
0.0,100,80.601241
0.0,100,81.799071
0.809728,21,82.046018
0.7397,30,82.399244
0.0,100,83.600223
0.895338,11,83.729789
0.0,100,84.936553
0.0,100,86.136444
0.0,100,87.333484
0.0,100,88.537196
0.932065,7,88.638701
0.0,100,89.847647
0.696413,36,90.29987
0.0,100,91.503289
0.895338,11,91.629465
0.0,100,92.820304
0.0,100,94.031746
0.0,100,95.239432
0.762343,27,95.57884
0.932065,7,95.651017
0.0,100,96.886886
0.886385,12,97.027363
0.649103,43,97.558128
0.668972,40,98.032759
0.762343,27,98.353161
0.932065,7,98.45343
0.817907,20,98.687008
0.0,100,99.875831
0.494839,70,100.698802
0.0,100,101.88761
0.960596,4,101.942749
0.877521,13,102.075667
0.717731,33,102.481867
0.754719,28,102.796142
0.0,100,104.00621
0.0,100,105.19842
0.826169,19,105.434603
0.801631,22,105.713933
0.913517,9,105.797762
0.95099,5,105.854877
0.95099,5,105.917864
0.0,100,107.106689
0.0,100,108.307094
0.834514,18,108.535394
0.0,100,109.76225
0.0,100,111.125921
0.0,100,112.327467
0.0,100,113.560675
0.0,100,114.746857
0.0,100,115.949967
0.0,100,117.146869
0.0,100,118.351636
0.0,100,119.563653
0.877521,13,119.727886
0.877521,13,119.864499
0.762343,27,120.208934
0.793614,23,120.464023
0.0,100,121.675797
0.777821,25,121.979615
0.754719,28,122.329794
0.598956,51,122.934008
0.0,100,124.141185
0.0,100,125.342078
0.0,100,126.535689
0.801631,22,126.782684
0.754719,28,127.13039
0.689449,37,127.556428
0.754719,28,127.908883
0.0,100,129.126459
0.913517,9,129.242529
0.834514,18,129.435937
0.675729,39,129.911431
0.904382,10,130.028763
0.703448,35,130.441168
0.0,100,131.686333
0.61729,48,132.275793
0.494839,70,133.116317
0.0,100,134.345442
0.960596,4,134.397941
0.494839,70,135.240676
0.0,100,136.444581
0.834514,18,136.639859
0.886385,12,136.799065
0.868746,14,136.944349
0.868746,14,137.119006
0.793614,23,137.406047
0.809728,21,137.649795
0.0,100,138.846588
0.95099,5,138.904626
0.895338,11,139.029186
0.913517,9,139.140761
0.809728,21,139.400884
0.95099,5,139.46102
0.970299,3,139.507712
0.747172,29,139.866482
0.0,100,141.045244
0.922745,8,141.123383
0.868746,14,141.293753
0.536268,62,142.019116
0.623525,47,142.5991
0.0,100,143.794292
0.732303,31,144.159041
0.0,100,145.353929
0.826169,19,145.589594
0.0,100,146.779273
0.563905,57,147.442244
0.817907,20,147.754539
0.793614,23,148.042443
0.0,100,149.240883
0.0,100,150.425768
0.703448,35,150.8446
0.668972,40,151.333697
0.504886,68,152.133712
0.0,100,153.334809
