#{"t_start": 1731442339.8647137, "env_id": "None"}
r,l,t
0.0,100,2.215734
0.0,100,3.425342
0.0,100,4.634964
0.47534,74,5.546948
0.0,100,6.791148
0.762343,27,7.14322
0.689449,37,7.59668
0.793614,23,7.898125
0.762343,27,8.222075
0.0,100,9.478091
0.649103,43,10.064106
0.932065,7,10.138036
0.770043,26,10.465247
0.932065,7,10.571551
0.0,100,11.821621
0.970299,3,11.838947
0.932065,7,11.94659
0.932065,7,12.01936
0.762343,27,12.345892
0.0,100,13.588399
0.860058,15,13.772707
0.623525,47,14.374405
0.0,100,15.618943
0.868746,14,15.798377
0.0,100,17.04188
0.0,100,18.27389
0.0,100,19.522681
0.793614,23,19.794811
0.623525,47,20.438056
0.0,100,21.686545
0.0,100,22.926493
0.0,100,24.159029
0.0,100,25.404988
0.0,100,26.837355
0.0,100,28.498653
0.0,100,29.842594
0.868746,14,29.997611
0.904382,10,30.120024
0.0,100,31.515674
0.703448,35,32.015981
0.0,100,33.517036
0.0,100,34.931412
0.0,100,36.317815
0.0,100,37.797749
0.0,100,39.282922
0.785678,24,39.590943
0.0,100,40.957944
0.61729,48,41.620245
0.785678,24,41.941194
0.0,100,43.269106
0.0,100,44.567035
0.0,100,45.885717
0.668972,40,46.378909
0.868746,14,46.545418
0.636185,45,47.148226
0.0,100,48.445308
0.785678,24,48.77356
0.0,100,50.159555
0.629824,46,50.92809
0.72498,32,51.477645
0.0,100,52.928267
0.0,100,54.215375
0.0,100,55.481223
0.0,100,56.768199
0.0,100,58.008008
0.777821,25,58.31633
0.0,100,59.595562
0.886385,12,59.728534
0.0,100,60.979901
0.886385,12,61.15421
0.777821,25,61.468711
0.970299,3,61.486506
0.868746,14,61.670757
0.0,100,62.908588
0.94148,6,62.979183
0.0,100,64.213841
0.762343,27,64.56558
0.970299,3,64.581985
0.0,100,65.824275
0.809728,21,66.08216
0.762343,27,66.43792
0.834514,18,66.648179
0.0,100,67.900724
0.710553,34,68.329528
0.960596,4,68.385428
0.0,100,69.626832
0.904382,10,69.750782
0.922745,8,69.866617
0.860058,15,70.050266
0.0,100,71.296611
0.785678,24,71.577219
0.629824,46,72.169154
0.895338,11,72.30256
0.689449,37,72.740145
0.465881,76,73.692933
0.960596,4,73.749881
0.0,100,75.012968
0.94148,6,75.083812
0.94148,6,75.185151
0.0,100,76.576472
0.809728,21,76.831224
0.877521,13,76.970389
0.434231,83,78.057707
0.834514,18,78.29297
0.0,100,79.542905
0.834514,18,79.748453
0.0,100,80.986688
0.0,100,82.235915
0.732303,31,82.617408
0.960596,4,82.672372
0.932065,7,82.777259
0.662282,41,83.286269
0.842943,17,83.480206
0.61729,48,84.08604
0.0,100,85.332032
0.0,100,86.583595
0.851458,16,86.778559
0.605006,50,87.396876
0.0,100,88.632248
0.809728,21,88.887185
0.868746,14,89.065475
0.0,100,90.306388
0.826169,19,90.555986
0.877521,13,90.695708
0.0,100,91.961132
0.417121,87,93.056632
0.72498,32,93.432935
0.886385,12,93.600701
0.793614,23,93.872095
0.0,100,95.170783
0.817907,20,95.423594
0.0,100,96.664762
0.860058,15,96.854873
0.886385,12,97.021138
0.0,100,98.265728
0.762343,27,98.583382
0.9801,2,98.594569
0.0,100,99.832267
0.868746,14,100.01821
0.826169,19,100.257595
0.94148,6,100.330194
0.0,100,101.581984
0.0,100,102.815145
0.0,100,104.058721
0.541685,61,104.804317
0.0,100,106.056663
0.0,100,107.292217
0.99,1,107.332351
0.877521,13,107.479563
0.0,100,108.716193
0.817907,20,108.960527
0.0,100,110.203612
0.558266,58,110.950141
0.0,100,112.231535
0.662282,41,112.762812
0.72498,32,113.148858
0.717731,33,113.566098
0.0,100,114.802645
0.770043,26,115.118207
0.0,100,116.373701
0.868746,14,116.561565
0.72498,32,116.951715
0.817907,20,117.196798
0.793614,23,117.496132
0.860058,15,117.68294
0.0,100,118.926186
0.0,100,120.173646
0.932065,7,120.246484
0.801631,22,120.547764
0.834514,18,120.751424
0.438618,82,121.78358
0.886385,12,121.918394
0.0,100,123.157595
0.0,100,124.402526
0.642612,44,124.952927
0.72498,32,125.341312
0.0,100,126.591974
0.710553,34,127.021019
0.655659,42,127.563663
0.801631,22,127.82508
0.777821,25,128.136216
0.520341,65,128.995451
0.0,100,130.252285
0.536268,62,131.000124
0.895338,11,131.162781
0.710553,34,131.55145
0.851458,16,131.781409
0.932065,7,131.853172
0.0,100,133.069639
0.762343,27,133.387294
0.623525,47,133.995029
0.499837,69,134.860598
0.960596,4,134.883009
0.913517,9,134.999928
0.689449,37,135.48877
0.747172,29,135.82212
0.732303,31,136.23296
0.770043,26,136.555212
0.0,100,137.93524
0.655659,42,138.446288
0.0,100,139.682451
0.710553,34,140.117632
0.0,100,141.36577
0.0,100,142.619144
0.0,100,143.856147
0.0,100,145.102662
0.0,100,146.373636
0.0,100,147.644983
0.0,100,148.884346
0.0,100,150.114902
0.452044,79,151.101288
0.99,1,151.106901
0.72498,32,151.493059
0.860058,15,151.677844
0.922745,8,151.793405
0.0,100,153.032972
0.675729,39,153.51904
0.447523,80,154.519265
0.886385,12,154.658227
0.801631,22,154.954365
0.0,100,156.206829
0.877521,13,156.347413
0.932065,7,156.45647
0.0,100,157.686228
0.675729,39,158.141963
0.598956,51,158.805356
0.868746,14,158.949439
0.922745,8,159.060667
0.785678,24,159.365189
0.0,100,160.633125
0.877521,13,160.774733
0.0,100,162.027831
0.0,100,163.311895
0.0,100,164.552268
0.9801,2,164.597857
0.509986,67,165.454251
0.7397,30,165.831627
0.710553,34,166.265267
0.895338,11,166.396569
0.826169,19,166.640631
0.0,100,167.900647
0.0,100,169.161634
0.0,100,170.420697
0.960596,4,170.477284
0.452044,79,171.479324
0.754719,28,171.806449
0.94148,6,171.877486
0.703448,35,172.320324
0.0,100,173.578917
0.851458,16,173.809172
0.0,100,175.06168
0.0,100,176.307081
0.0,100,177.566761
0.0,100,178.808351
0.0,100,180.096985
0.0,100,181.365135
0.0,100,182.625515
0.762343,27,182.947948
0.895338,11,183.077053
0.547157,60,183.84823
0.868746,14,184.029759
0.696413,36,184.476928
0.0,100,185.733511
0.0,100,186.985419
0.72498,32,187.399352
0.754719,28,187.7281
0.703448,35,188.160352
0.0,100,189.403798
0.851458,16,189.600196
0.0,100,190.851743
0.0,100,192.157428
0.868746,14,192.339993
0.0,100,194.016199
0.0,100,195.493148
0.777821,25,195.932988
0.0,100,197.320549
0.381047,96,198.642246
0.826169,19,198.891412
0.623525,47,199.501089
0.0,100,200.756965
0.0,100,202.027269
0.649103,43,202.538208
0.0,100,203.793078
0.598956,51,204.42028
0.842943,17,204.656565
0.94148,6,204.723701
0.0,100,205.969715
0.0,100,207.226589
0.0,100,208.49298
0.732303,31,208.876899
0.762343,27,209.235378
0.0,100,210.4855
0.851458,16,210.680526
0.770043,26,210.99504
0.0,100,212.249753
0.0,100,213.493939
0.886385,12,213.62942
0.960596,4,213.685926
0.717731,33,214.106011
0.7397,30,214.480027
0.592966,52,215.111177
0.834514,18,215.354464
0.932065,7,215.428852
0.0,100,216.679991
0.536268,62,217.468849
0.877521,13,217.61159
0.826169,19,217.85309
0.0,100,219.110822
0.0,100,220.364219
0.0,100,221.643571
0.817907,20,221.893426
0.0,100,223.136692
0.895338,11,223.2696
0.886385,12,223.439848
0.530906,63,224.20428
0.970299,3,224.254952
0.675729,39,224.753918
0.0,100,226.038171
0.0,100,227.287323
0.99,1,227.292904
0.793614,23,227.558838
0.777821,25,227.870821
0.851458,16,228.093805
0.563905,57,228.79368
0.0,100,230.04062
0.0,100,231.300793
0.95099,5,231.364552
0.48989,71,232.256226
0.970299,3,232.307621
0.611117,49,232.924112
0.703448,35,233.362047
0.932065,7,233.435175
0.793614,23,233.740251
0.960596,4,233.762085
0.913517,9,233.885609
0.0,100,235.132758
0.0,100,236.389832
0.877521,13,236.568924
0.95099,5,236.630935
0.0,100,237.884927
0.0,100,239.167725
0.9801,2,239.178337
0.0,100,240.425862
0.777821,25,240.735956
0.0,100,242.047083
0.95099,5,242.108984
0.817907,20,242.357689
0.886385,12,242.525841
0.0,100,243.783665
0.95099,5,243.84476
0.0,100,245.093489
0.904382,10,245.224624
0.484991,72,246.109619
0.877521,13,246.2845
0.801631,22,246.555854
0.95099,5,246.618697
0.960596,4,246.675858
0.877521,13,246.820091
0.860058,15,247.004961
0.762343,27,247.366704
0.0,100,248.627774
0.868746,14,248.805135
0.509986,67,249.635515
0.72498,32,250.023275
0.834514,18,250.263484
0.785678,24,250.570323
0.461222,77,251.529277
0.0,100,252.768988
0.0,100,254.015907
0.817907,20,254.261958
0.0,100,255.510444
0.777821,25,255.831164
0.777821,25,256.137916
0.563905,57,256.902525
0.0,100,258.15568
0.605006,50,258.835214
0.877521,13,259.06465
0.960596,4,259.14577
0.834514,18,259.39228
0.0,100,260.642878
0.0,100,261.901207
0.0,100,263.15154
0.970299,3,263.168192
0.530906,63,263.969162
0.0,100,265.211054
0.886385,12,265.351393
0.0,100,266.606121
0.558266,58,267.344776
0.785678,24,267.648632
0.417121,87,268.733289
0.0,100,269.981453
0.0,100,271.238922
0.0,100,272.499324
0.913517,9,272.617473
0.826169,19,272.859166
0.0,100,274.12513
0.0,100,275.456374
0.851458,16,275.657973
0.384896,95,276.854806
0.770043,26,277.170008
0.895338,11,277.299954
0.785678,24,277.610338
0.970299,3,277.662463
0.932065,7,277.736229
0.0,100,278.990602
0.904382,10,279.118095
0.668972,40,279.623125
0.581166,54,280.309524
0.817907,20,280.5645
0.0,100,281.841637
0.0,100,283.099706
0.970299,3,283.118101
0.0,100,284.384907
0.629824,46,284.991618
0.0,100,286.268958
0.0,100,287.544797
0.0,100,288.827554
0.0,100,290.108776
0.605006,50,290.756593
0.0,100,292.056473
0.0,100,293.383835
0.868746,14,293.537275
0.0,100,294.865944
0.0,100,296.167643
0.770043,26,296.539075
0.913517,9,296.624868
0.629824,46,297.247346
0.0,100,298.547609
0.0,100,299.856831
0.452044,79,300.874195
0.629824,46,301.509186
0.762343,27,301.847553
0.0,100,303.157442
0.0,100,304.470169
0.421334,86,305.602461
0.7397,30,306.005339
0.913517,9,306.129419
0.904382,10,306.260797
0.668972,40,306.799087
0.0,100,308.133192
0.48989,71,309.068666
0.904382,10,309.219145
0.913517,9,309.371822
0.868746,14,309.557783
0.970299,3,309.574417
0.793614,23,309.896397
0.0,100,311.228011
0.9801,2,311.239739
0.72498,32,311.688332
0.0,100,313.061655
0.904382,10,313.192206
0.536268,62,314.015106
0.932065,7,314.130139
0.99,1,314.135702
0.801631,22,314.410187
0.868746,14,314.606993
0.886385,12,314.754404
0.842943,17,315.002667
0.0,100,316.339689
0.499837,69,317.27241
0.0,100,318.60724
0.575355,55,319.342698
0.710553,34,319.761933
0.0,100,321.245313
0.913517,9,321.37121
0.777821,25,321.712416
0.0,100,323.051923
0.851458,16,323.257911
0.770043,26,323.635766
0.0,100,324.970407
0.636185,45,325.575637
0.696413,36,326.039935
0.48989,71,327.020063
0.0,100,328.361279
0.636185,45,328.960113
0.649103,43,329.548161
0.0,100,330.915589
0.547157,60,331.716377
0.605006,50,332.380778
0.0,100,333.715801
0.0,100,335.059253
0.0,100,336.399882
0.886385,12,336.545866
0.0,100,337.877911
0.0,100,339.212088
0.598956,51,339.882824
0.689449,37,340.40648
0.0,100,341.752638
0.0,100,343.083747
0.932065,7,343.161281
0.801631,22,343.436661
0.770043,26,343.814961
0.0,100,345.193023
0.0,100,346.532808
0.860058,15,346.730018
0.0,100,348.073849
0.913517,9,348.16076
0.809728,21,348.473911
0.0,100,349.813433
0.563905,57,350.593929
0.770043,26,350.933526
0.0,100,352.281194
0.0,100,353.620372
0.834514,18,353.877894
0.877521,13,354.027742
0.868746,14,354.219156
0.525596,64,355.096409
0.575355,55,355.836125
0.762343,27,356.178097
0.655659,42,356.778567
0.0,100,358.121098
0.541685,61,358.930386
0.0,100,360.267088
0.0,100,361.626985
0.9801,2,361.638155
0.904382,10,361.808525
0.99,1,361.865243
0.0,100,363.230803
0.0,100,364.560674
0.826169,19,364.78254
0.0,100,366.121668
0.877521,13,366.308244
0.777821,25,366.655354
0.0,100,367.990045
0.0,100,369.327865
0.655659,42,369.869184
0.682555,38,370.393322
0.0,100,371.734213
0.536268,62,372.54232
0.710553,34,372.998562
0.0,100,374.332481
0.762343,27,374.720076
0.0,100,376.055883
0.0,100,377.394738
0.0,100,378.764318
0.842943,17,378.973304
0.0,100,380.314471
0.0,100,381.82188
0.587037,53,382.541693
0.0,100,383.878557
0.682555,38,384.360329
0.0,100,385.703671
0.860058,15,385.900926
0.461222,77,386.960391
0.0,100,388.30437
0.0,100,389.675667
0.629824,46,390.282134
0.0,100,391.634923
0.842943,17,391.844337
0.0,100,393.181818
0.0,100,394.522057
0.834514,18,394.772187
0.94148,6,394.85344
