#{"t_start": 1732111048.4335902, "env_id": "None"}
r,l,t
0.649103,43,1.898391
0.0,100,3.283651
0.0,100,4.753074
0.0,100,6.275189
0.0,100,7.744782
0.0,100,9.287006
0.0,100,10.596983
0.0,100,11.920786
0.0,100,13.234734
0.9801,2,13.248468
0.0,100,14.645014
0.0,100,15.976698
0.0,100,17.273547
0.0,100,18.581921
0.886385,12,18.761571
0.0,100,20.100319
0.0,100,21.450681
0.0,100,22.734525
0.0,100,24.011294
0.0,100,25.285527
0.0,100,26.585315
0.0,100,27.890122
0.0,100,29.211964
0.0,100,30.555145
0.0,100,31.882134
0.0,100,33.185869
0.0,100,34.477899
0.0,100,35.776767
0.0,100,37.082458
0.0,100,38.375624
0.0,100,39.667529
0.0,100,40.958699
0.0,100,42.269765
0.0,100,43.56873
0.0,100,44.831481
0.0,100,46.165204
0.0,100,47.439487
0.0,100,48.724711
0.0,100,50.012387
0.0,100,51.286358
0.0,100,52.558002
0.0,100,53.837562
0.0,100,55.143758
0.0,100,56.429423
0.0,100,57.701607
0.0,100,58.976428
0.0,100,60.254905
0.0,100,61.562784
0.0,100,63.055891
0.0,100,64.730801
0.0,100,66.079732
0.0,100,67.376878
0.0,100,68.672095
0.0,100,70.071443
0.0,100,71.533318
0.0,100,72.946438
0.0,100,74.47405
