#{"t_start": 1732118635.5246787, "env_id": "None"}
r,l,t
0.0,100,5.418197
0.0,100,6.846039
0.0,100,8.290929
0.536268,62,9.223171
0.0,100,10.664901
0.0,100,12.153809
0.636185,45,12.801035
0.0,100,14.370353
0.0,100,16.076141
0.0,100,17.513265
0.40882,89,18.831201
0.0,100,20.317805
0.0,100,21.703385
0.0,100,23.015458
0.0,100,24.492481
0.0,100,25.825791
0.0,100,27.169937
0.0,100,28.697255
0.970299,3,28.722357
0.0,100,30.36275
0.0,100,31.710954
0.0,100,33.236691
0.793614,23,33.560313
0.0,100,35.319663
0.0,100,36.882428
0.834514,18,37.112665
0.0,100,38.565811
0.0,100,40.07284
0.0,100,41.526647
0.0,100,42.940351
0.0,100,44.424596
0.0,100,45.777497
0.0,100,47.121083
0.0,100,48.569033
0.0,100,49.937652
0.0,100,51.269631
0.770043,26,51.651138
0.0,100,53.009854
0.0,100,54.389042
0.0,100,55.856069
0.509986,67,56.84004
0.0,100,58.376555
0.0,100,60.095906
0.0,100,61.566506
0.0,100,63.102112
0.0,100,64.609538
0.0,100,66.012592
0.0,100,67.664488
0.0,100,69.090873
0.0,100,70.823034
0.970299,3,70.880471
0.0,100,72.375995
0.575355,55,73.181203
0.0,100,74.559785
0.0,100,76.068111
0.0,100,77.481908
0.0,100,79.012458
0.960596,4,79.039924
0.0,100,80.585365
0.0,100,82.276936
0.0,100,83.83079
0.0,100,85.223118
0.0,100,86.887777
0.0,100,88.521538
0.851458,16,88.904778
0.0,100,90.449322
0.9801,2,90.463346
0.42559,85,91.65708
0.0,100,93.046874
0.42559,85,94.238516
0.0,100,95.628012
0.895338,11,95.78762
0.675729,39,96.524203
0.0,100,98.194554
0.636185,45,98.807715
0.0,100,100.218703
0.0,100,101.722687
0.373464,98,103.146687
0.0,100,104.747604
0.48989,71,105.857615
0.0,100,107.3603
0.480141,73,108.509109
0.0,100,109.943257
0.0,100,111.355085
0.0,100,112.729635
0.0,100,114.076979
0.904382,10,114.207893
0.0,100,115.539781
0.629824,46,116.179445
0.0,100,117.549847
0.0,100,118.965014
0.0,100,120.49672
0.0,100,121.801263
0.0,100,123.137659
0.520341,65,124.025039
0.0,100,125.388053
0.605006,50,126.058933
0.0,100,127.3887
0.0,100,128.742003
0.922745,8,128.832096
0.0,100,130.165016
0.0,100,131.505274
0.0,100,132.83219
0.662282,41,133.367766
0.960596,4,133.426997
0.0,100,134.756138
0.0,100,136.082972
0.0,100,137.420943
0.0,100,138.737948
0.381047,96,140.016932
0.0,100,141.380692
0.48989,71,142.36722
0.0,100,143.671049
0.0,100,144.989608
0.0,100,146.350604
0.0,100,147.671007
0.817907,20,147.948205
0.717731,33,148.388632
0.0,100,149.76809
0.0,100,151.103334
0.0,100,152.436894
0.0,100,153.784461
0.0,100,155.127049
0.552683,59,155.923231
0.0,100,157.277756
0.0,100,158.604006
0.95099,5,158.6663
0.429889,84,159.770133
0.611117,49,160.433222
0.0,100,161.741437
0.0,100,163.098938
0.0,100,164.45329
0.0,100,165.812009
0.575355,55,166.641504
0.9801,2,166.654717
0.0,100,168.285957
0.732303,31,168.793652
0.0,100,170.361899
0.0,100,171.768934
0.0,100,173.410892
0.0,100,174.895612
0.0,100,176.643035
0.0,100,178.125838
0.0,100,179.608084
0.655659,42,180.181731
0.0,100,181.512186
0.0,100,183.222925
0.0,100,184.975077
0.0,100,186.421671
0.0,100,187.846599
0.904382,10,187.977897
0.785678,24,188.272431
0.0,100,189.724468
