#{"t_start": 1732147084.8610702, "env_id": "None"}
r,l,t
0.0,100,4.704972
0.0,100,6.418935
0.0,100,8.149783
0.877521,13,8.398191
0.655659,42,9.088494
0.0,100,10.653422
0.0,100,12.201786
0.504886,68,13.268858
0.480141,73,14.279071
0.0,100,15.685555
0.0,100,17.051346
0.0,100,18.378254
0.0,100,19.783382
0.0,100,21.193424
0.913517,9,21.279639
0.0,100,22.754855
0.0,100,24.340278
0.7397,30,24.761533
0.0,100,26.274089
0.886385,12,26.461466
0.809728,21,26.751591
0.868746,14,26.956181
0.0,100,28.39653
0.0,100,29.741032
0.696413,36,30.233859
0.904382,10,30.410337
0.762343,27,30.783655
0.0,100,32.304727
0.895338,11,32.528202
0.0,100,33.991005
0.629824,46,34.742122
0.0,100,36.229319
0.0,100,37.675459
0.777821,25,38.086065
0.922745,8,38.186866
0.770043,26,38.588954
0.9801,2,38.601838
0.0,100,39.966377
0.499837,69,40.929576
0.0,100,42.308243
0.0,100,43.894201
0.0,100,45.571128
0.913517,9,45.700344
0.0,100,47.066986
0.0,100,48.42681
0.581166,54,49.165422
0.0,100,50.628586
0.575355,55,51.413794
0.655659,42,52.033443
0.0,100,53.472296
0.0,100,54.999901
0.0,100,56.730412
0.0,100,58.182567
0.970299,3,58.20147
0.904382,10,58.349858
0.0,100,59.815948
0.770043,26,60.291027
0.809728,21,60.604549
0.675729,39,61.190159
0.0,100,62.883563
0.770043,26,63.263547
0.388784,94,64.716744
0.0,100,66.18714
0.668972,40,66.772589
0.0,100,68.261104
0.0,100,69.822397
0.0,100,71.286564
0.762343,27,71.676159
0.0,100,73.164056
0.717731,33,73.664362
0.747172,29,74.048905
0.904382,10,74.197394
0.396678,92,75.570788
0.0,100,77.051727
0.762343,27,77.435954
0.99,1,77.442234
0.747172,29,77.891548
0.877521,13,78.093865
0.95099,5,78.164414
0.7397,30,78.602571
0.0,100,80.08546
0.95099,5,80.162219
0.895338,11,80.320171
0.0,100,81.79671
0.95099,5,81.868621
0.0,100,83.323833
0.494839,70,84.33487
0.922745,8,84.474482
0.817907,20,84.770016
0.754719,28,85.156435
0.793614,23,85.522778
0.0,100,86.986264
0.0,100,88.456861
0.785678,24,88.817285
0.0,100,90.316499
0.99,1,90.32376
0.762343,27,90.715628
0.0,100,92.180734
0.732303,31,92.636814
0.0,100,94.097352
0.834514,18,94.363182
0.0,100,95.79279
0.851458,16,96.021085
0.0,100,97.45059
0.834514,18,97.72292
0.668972,40,98.289276
0.0,100,99.718705
0.826169,19,100.042449
0.809728,21,100.340794
0.598956,51,101.072623
0.868746,14,101.286597
0.0,100,102.741976
0.0,100,104.15834
0.904382,10,104.305417
0.0,100,105.737695
0.649103,43,106.335878
0.0,100,107.853588
0.438618,82,109.067721
0.754719,28,109.452216
0.0,100,110.927403
0.0,100,112.384088
0.675729,39,112.964684
0.0,100,114.426759
0.826169,19,114.711428
0.877521,13,114.915864
0.0,100,116.385374
0.801631,22,116.703759
0.703448,35,117.244522
0.922745,8,117.374393
0.7397,30,117.809149
0.668972,40,118.394922
0.384896,95,119.775346
0.0,100,121.285567
0.0,100,122.749146
0.99,1,122.755678
0.99,1,122.76306
0.0,100,124.215094
0.0,100,125.683531
0.605006,50,126.419094
0.689449,37,126.942962
0.785678,24,127.294205
0.785678,24,127.638556
0.0,100,129.071394
0.777821,25,129.428576
0.0,100,130.877081
0.0,100,132.336459
0.0,100,133.797791
0.0,100,135.253033
0.675729,39,135.83212
0.851458,16,136.057394
0.642612,44,136.720176
0.581166,54,137.546876
0.581166,54,138.344502
0.581166,54,139.137376
0.0,100,140.60326
0.0,100,142.052466
0.801631,22,142.392632
0.770043,26,142.765386
0.777821,25,143.129861
0.834514,18,143.370542
0.904382,10,143.512867
0.581166,54,144.300734
0.611117,49,145.028133
0.0,100,146.487006
0.817907,20,146.814866
0.0,100,148.261698
0.747172,29,148.681448
0.0,100,150.097296
0.703448,35,150.606831
0.0,100,152.032027
0.480141,73,153.043674
0.0,100,154.464687
0.754719,28,154.887225
0.461222,77,155.991792
0.0,100,157.431879
0.842943,17,157.708009
0.452044,79,158.866502
0.868746,14,159.042346
0.0,100,160.497279
0.72498,32,161.001763
0.649103,43,161.626106
0.0,100,163.073657
0.509986,67,164.073234
0.536268,62,164.99393
0.95099,5,165.065959
0.710553,34,165.591198
0.649103,43,166.222308
0.762343,27,166.603749
0.520341,65,167.541621
0.0,100,169.116294
0.851458,16,169.351012
0.668972,40,169.986923
0.95099,5,170.058743
0.0,100,171.770252
0.747172,29,172.417328
0.842943,17,172.717992
0.970299,3,172.799144
0.0,100,174.327749
0.682555,38,174.936366
0.72498,32,175.421589
0.860058,15,175.667549
0.703448,35,176.231416
0.662282,41,176.981737
0.94148,6,177.078416
0.541685,61,178.031933
0.443048,81,179.186771
0.0,100,180.704001
0.793614,23,181.013799
0.732303,31,181.546075
0.732303,31,182.021699
0.0,100,183.557664
0.72498,32,184.019764
0.662282,41,184.620955
0.95099,5,184.694841
0.636185,45,185.429826
0.675729,39,186.009138
0.868746,14,186.224213
0.932065,7,186.32077
0.623525,47,187.047621
0.860058,15,187.265712
0.0,100,188.758707
0.668972,40,189.369179
0.0,100,190.878605
0.762343,27,191.269347
0.732303,31,191.7552
0.0,100,193.338003
0.747172,29,193.929803
0.922745,8,194.075113
0.762343,27,194.454707
0.0,100,195.890754
0.94148,6,195.966566
0.575355,55,196.822473
0.922745,8,196.962463
0.886385,12,197.124507
0.0,100,198.668325
0.655659,42,199.340141
0.817907,20,199.631468
0.904382,10,199.775141
0.0,100,201.218031
0.886385,12,201.370797
0.675729,39,201.962458
0.655659,42,202.593981
0.842943,17,202.875468
0.785678,24,203.252452
0.747172,29,203.6669
0.72498,32,204.168792
0.770043,26,204.520948
0.732303,31,204.961039
0.932065,7,205.078924
0.922745,8,205.16634
0.0,100,206.713003
0.484991,72,207.822937
0.0,100,209.308821
0.868746,14,209.488448
0.0,100,210.990585
0.0,100,212.503958
0.777821,25,212.882843
0.0,100,214.363595
0.860058,15,214.588096
0.668972,40,215.175464
0.809728,21,215.585685
0.72498,32,216.031617
0.605006,50,216.805932
0.747172,29,217.255345
0.629824,46,217.987051
0.842943,17,218.229639
0.0,100,219.769306
0.642612,44,220.467017
0.793614,23,220.87349
0.785678,24,221.239661
0.877521,13,221.400407
0.732303,31,221.840612
0.0,100,223.56019
0.770043,26,223.977343
0.689449,37,224.510675
0.785678,24,224.851041
0.0,100,226.257709
0.834514,18,226.501121
0.682555,38,227.102944
0.895338,11,227.252457
0.0,100,228.716262
0.817907,20,229.064238
0.868746,14,229.324591
0.0,100,230.88964
0.611117,49,231.593914
0.99,1,231.600757
0.793614,23,231.937904
0.817907,20,232.215222
0.970299,3,232.236383
0.817907,20,232.514673
0.793614,23,232.861686
0.0,100,234.653689
0.747172,29,235.063558
0.777821,25,235.426437
0.834514,18,235.672727
0.61729,48,236.408594
0.868746,14,236.626856
0.877521,13,236.78636
0.904382,10,236.938283
0.0,100,238.394575
0.0,100,239.901014
0.0,100,241.625185
0.777821,25,241.96368
0.0,100,243.353926
0.851458,16,243.56466
0.9801,2,243.614133
0.860058,15,243.830543
0.801631,22,244.113472
0.793614,23,244.452275
0.0,100,245.878917
0.0,100,247.296982
0.668972,40,248.004619
0.904382,10,248.151357
0.655659,42,248.859508
0.0,100,250.389636
0.0,100,251.9658
0.675729,39,252.576277
0.0,100,254.066864
0.922745,8,254.184193
0.809728,21,254.503511
0.904382,10,254.653109
0.970299,3,254.676654
0.770043,26,255.140067
0.668972,40,255.715523
0.785678,24,256.057654
0.668972,40,256.667496
0.0,100,258.178533
0.868746,14,258.383499
0.623525,47,259.152724
0.860058,15,259.361839
0.696413,36,259.863084
0.0,100,261.403808
0.762343,27,261.743553
0.605006,50,262.877219
0.0,100,264.638983
0.793614,23,264.960372
0.0,100,266.275471
0.0,100,267.744576
0.696413,36,268.213693
0.747172,29,268.646917
0.0,100,270.022454
0.662282,41,270.573614
0.793614,23,270.88361
0.95099,5,270.952746
0.0,100,272.301823
0.668972,40,272.825882
0.0,100,274.138719
0.0,100,275.46332
0.960596,4,275.487926
0.0,100,277.081456
0.0,100,278.674441
0.0,100,280.125946
0.0,100,281.529553
0.826169,19,281.795231
0.904382,10,281.946151
0.94148,6,282.02455
0.842943,17,282.282899
0.970299,3,282.303871
0.0,100,283.954917
0.0,100,285.579818
0.470587,75,286.76212
0.747172,29,287.195133
0.0,100,288.717173
0.922745,8,288.843
0.777821,25,289.227501
0.0,100,290.669591
0.0,100,292.278169
0.801631,22,292.667377
0.99,1,292.674357
0.0,100,294.009502
0.932065,7,294.121284
0.0,100,295.552035
0.575355,55,296.360621
0.801631,22,296.652531
0.494839,70,297.640543
0.494839,70,298.572114
0.754719,28,298.961082
0.913517,9,299.088318
0.851458,16,299.290737
0.649103,43,299.848645
0.762343,27,300.226157
0.668972,40,300.760979
0.703448,35,301.224159
0.932065,7,301.300713
0.0,100,302.665942
0.886385,12,302.847995
0.0,100,304.202368
0.717731,33,304.611911
0.598956,51,305.278438
0.809728,21,305.601722
0.0,100,306.927939
0.0,100,308.358086
0.558266,58,309.139021
0.0,100,310.518421
0.0,100,311.84658
