#{"t_start": 1732143252.696811, "env_id": "None"}
r,l,t
0.0,100,3.934409
0.0,100,5.312139
0.0,100,6.655611
0.0,100,8.066776
0.99,1,8.118599
0.0,100,9.544013
0.0,100,10.890732
0.0,100,12.247367
0.0,100,13.601293
0.0,100,14.940369
0.0,100,16.242601
0.834514,18,16.471224
0.0,100,17.802223
0.0,100,19.150114
0.0,100,20.471612
0.785678,24,20.802136
0.904382,10,20.933335
0.689449,37,21.405676
0.0,100,22.707273
0.675729,39,23.230911
0.40882,89,24.384123
0.717731,33,24.827796
0.682555,38,25.296938
0.99,1,25.302822
0.611117,49,25.944536
0.636185,45,26.530463
0.868746,14,26.714441
0.868746,14,26.9145
0.877521,13,27.063343
0.877521,13,27.241773
0.7397,30,27.630401
0.668972,40,28.140465
0.922745,8,28.261248
0.842943,17,28.467278
0.895338,11,28.601834
0.0,100,29.8921
0.817907,20,30.149263
0.886385,12,30.321714
0.0,100,31.611005
0.668972,40,32.133234
0.623525,47,32.723295
0.552683,59,33.487574
0.877521,13,33.625125
0.851458,16,33.878104
0.7397,30,34.263355
0.913517,9,34.34964
0.0,100,35.779203
0.0,100,37.149609
0.970299,3,37.20304
0.777821,25,37.554334
0.710553,34,38.077936
0.0,100,39.538356
0.0,100,41.021526
0.0,100,42.431179
0.809728,21,42.713719
0.552683,59,43.867875
0.851458,16,44.162633
0.0,100,45.695798
0.465881,76,46.813337
0.0,100,48.15481
0.895338,11,48.290489
0.581166,54,49.031065
0.99,1,49.037371
0.0,100,50.465428
0.970299,3,50.528335
0.913517,9,50.668816
0.94148,6,50.780064
0.754719,28,51.190855
0.0,100,52.717038
0.40882,89,53.971495
0.886385,12,54.148294
0.0,100,55.481398
0.0,100,56.80085
0.0,100,58.139849
0.703448,35,58.594328
0.61729,48,59.212356
0.0,100,60.530237
0.785678,24,60.846135
0.886385,12,61.026485
0.0,100,62.320404
0.826169,19,62.541036
0.842943,17,62.781971
0.0,100,64.091525
0.922745,8,64.20569
0.0,100,65.515792
0.0,100,66.808606
0.452044,79,67.892006
0.0,100,69.594502
0.732303,31,69.993655
0.95099,5,70.060365
0.868746,14,70.253206
0.747172,29,70.643832
0.484991,72,71.603769
0.754719,28,71.982944
0.94148,6,72.060461
0.886385,12,72.240701
0.629824,46,72.874696
0.717731,33,73.288368
0.629824,46,73.929715
0.0,100,75.253128
0.0,100,76.572594
0.960596,4,76.596878
0.932065,7,76.722424
0.960596,4,76.784547
0.0,100,78.103101
0.851458,16,78.306638
0.655659,42,78.847336
0.0,100,80.160422
0.886385,12,80.335327
0.642612,44,80.885078
0.0,100,82.214897
0.860058,15,82.407228
0.904382,10,82.535054
0.675729,39,83.056517
0.762343,27,83.438041
0.970299,3,83.457282
0.0,100,84.799827
0.0,100,86.109134
0.515137,66,86.953011
0.0,100,88.261941
0.777821,25,88.585441
0.801631,22,88.892869
0.530906,63,89.701606
0.95099,5,89.766888
0.0,100,91.067458
0.0,100,92.390947
0.95099,5,92.458118
0.0,100,93.779198
0.754719,28,94.157114
0.0,100,95.47427
0.834514,18,95.735819
0.717731,33,96.143036
0.0,100,97.470541
0.0,100,99.235668
0.642612,44,99.832537
0.717731,33,100.317652
0.809728,21,100.584476
0.629824,46,101.168375
0.99,1,101.173871
0.960596,4,101.230871
0.0,100,102.518947
0.710553,34,102.967574
0.851458,16,103.163802
0.0,100,104.463298
0.72498,32,104.87416
0.696413,36,105.35586
0.655659,42,105.895283
0.886385,12,106.036
0.851458,16,106.269337
0.0,100,107.658692
0.703448,35,108.193365
0.0,100,109.498692
0.0,100,110.806401
0.834514,18,111.016673
0.860058,15,111.205244
0.95099,5,111.269017
0.0,100,112.555908
0.785678,24,112.8708
0.0,100,114.16078
0.886385,12,114.3038
0.0,100,115.641481
0.970299,3,115.695324
0.777821,25,116.032867
0.0,100,117.351503
0.0,100,118.69275
0.868746,14,118.879379
0.886385,12,119.017165
0.860058,15,119.205781
0.0,100,120.507408
0.904382,10,120.645937
0.904382,10,120.774062
0.0,100,122.071419
0.0,100,123.360001
0.94148,6,123.432418
0.777821,25,123.765305
0.770043,26,124.138429
0.754719,28,124.495975
0.0,100,125.801527
0.94148,6,125.877429
0.0,100,127.158057
0.801631,22,127.458627
0.860058,15,127.647425
0.851458,16,127.854506
0.0,100,129.556537
0.801631,22,129.827728
0.0,100,131.165674
0.922745,8,131.295311
0.0,100,132.631794
0.61729,48,133.277111
0.0,100,134.656663
0.913517,9,134.747043
0.0,100,136.068959
0.0,100,137.45734
0.0,100,138.849492
0.642612,44,139.435645
0.904382,10,139.595448
0.785678,24,139.9175
0.0,100,141.224429
0.754719,28,141.596798
0.754719,28,141.931108
0.0,100,143.223226
0.0,100,144.520411
0.0,100,145.841128
0.0,100,147.150754
0.834514,18,147.398828
0.9801,2,147.413316
0.0,100,148.723535
0.72498,32,149.166269
0.851458,16,149.37045
0.429889,84,150.500659
0.0,100,151.833522
0.770043,26,152.165951
0.817907,20,152.417951
0.851458,16,152.620358
0.904382,10,152.756646
0.668972,40,153.271947
0.834514,18,153.52361
0.536268,62,154.310485
0.470587,75,155.294225
0.0,100,156.602602
0.0,100,157.917446
0.817907,20,158.322476
0.95099,5,158.421332
0.94148,6,158.507297
0.581166,54,159.486235
0.0,100,160.868087
0.895338,11,161.004241
0.0,100,162.308117
0.0,100,163.603919
0.0,100,164.959658
0.817907,20,165.234309
0.668972,40,165.763898
0.770043,26,166.089799
0.809728,21,166.397007
0.7397,30,166.785497
0.611117,49,167.463581
0.851458,16,167.695918
0.0,100,169.144646
0.0,100,170.751335
0.922745,8,170.855907
0.817907,20,171.22364
0.793614,23,171.759034
0.960596,4,171.836269
0.0,100,173.463857
0.970299,3,173.496997
0.777821,25,173.919752
0.842943,17,174.229873
0.0,100,175.895432
0.563905,57,176.963812
0.922745,8,177.15716
0.834514,18,177.458014
0.636185,45,178.2674
0.649103,43,179.007699
0.877521,13,179.161261
0.762343,27,179.548578
0.801631,22,179.816382
0.655659,42,180.390671
0.0,100,181.716226
0.41295,88,182.846117
0.860058,15,183.04881
0.0,100,184.349144
0.0,100,185.90341
0.95099,5,185.991929
0.922745,8,186.16808
0.817907,20,186.7554
0.563905,57,187.80258
0.842943,17,188.131885
0.895338,11,188.311434
0.95099,5,188.423257
0.851458,16,188.73811
0.668972,40,189.477093
0.710553,34,190.106454
0.95099,5,190.200743
0.682555,38,190.826533
0.623525,47,191.788145
0.0,100,193.821035
0.0,100,195.223095
0.817907,20,195.509132
0.0,100,197.030674
0.0,100,198.39328
0.9801,2,198.407579
0.0,100,199.811673
0.762343,27,200.180058
0.747172,29,200.535218
0.668972,40,201.059445
0.668972,40,201.58764
0.0,100,202.900217
0.7397,30,203.333463
0.675729,39,203.847967
0.662282,41,204.401433
0.0,100,205.764971
0.0,100,207.055444
0.0,100,208.357267
0.717731,33,208.792955
0.0,100,210.123039
0.842943,17,210.327088
0.877521,13,210.529496
0.0,100,211.815745
0.0,100,213.114071
0.913517,9,213.234382
0.922745,8,213.321777
0.868746,14,213.50298
0.922745,8,213.620095
0.762343,27,213.952471
0.970299,3,214.004224
0.0,100,215.300508
0.826169,19,215.567457
0.0,100,216.88098
0.809728,21,217.152263
0.649103,43,217.687019
0.0,100,218.974648
0.970299,3,219.027434
0.801631,22,219.304394
0.0,100,220.616032
0.932065,7,220.732383
0.0,100,222.076009
0.860058,15,222.342886
0.801631,22,222.72136
0.587037,53,223.616568
0.842943,17,223.826325
0.913517,9,223.946768
0.499837,69,224.836531
0.629824,46,225.424989
0.41295,88,226.578449
0.0,100,227.867982
0.0,100,229.144433
0.717731,33,229.55916
0.801631,22,229.868587
0.47534,74,230.83898
0.0,100,232.227387
0.754719,28,232.612653
0.0,100,233.913985
0.877521,13,234.097264
0.0,100,235.391644
0.785678,24,235.686577
0.48989,71,236.631027
0.689449,37,237.098531
0.655659,42,237.635051
0.569601,56,238.391591
0.558266,58,239.144071
0.662282,41,239.677598
0.904382,10,239.804346
0.0,100,241.086251
0.0,100,242.379086
0.801631,22,242.677027
0.793614,23,242.955135
0.0,100,244.255138
0.0,100,245.556424
0.0,100,246.845064
0.0,100,248.139068
0.851458,16,248.370017
0.675729,39,248.850782
0.0,100,250.156402
0.913517,9,250.276896
0.932065,7,250.386912
0.0,100,251.693498
0.0,100,253.311261
0.598956,51,253.997087
0.770043,26,254.329894
0.0,100,255.668448
0.480141,73,256.691376
0.0,100,258.039351
0.649103,43,258.58285
0.801631,22,258.893451
0.689449,37,259.350827
0.886385,12,259.502245
0.0,100,260.784685
0.960596,4,260.843688
0.689449,37,261.370817
0.0,100,262.708419
0.0,100,264.038092
0.563905,57,264.765805
0.0,100,266.053646
0.611117,49,266.683793
0.9801,2,266.697268
0.785678,24,267.008308
0.0,100,268.302312
0.886385,12,268.443557
0.0,100,269.726173
0.0,100,271.035408
0.0,100,272.330489
0.611117,49,272.966902
0.0,100,274.301288
