#{"t_start": 1732142812.9446952, "env_id": "None"}
r,l,t
0.0,100,5.699157
0.0,100,7.172953
0.94148,6,7.280906
0.0,100,8.841676
0.563905,57,9.604036
0.0,100,11.002416
0.0,100,12.457801
0.0,100,13.995895
0.0,100,15.855964
0.0,100,17.268913
0.826169,19,17.529914
0.0,100,18.93391
0.689449,37,19.450872
0.703448,35,19.919845
0.0,100,21.676383
0.465881,76,22.703256
0.777821,25,23.036218
0.447523,80,24.112116
0.668972,40,24.666642
0.0,100,26.117402
0.717731,33,26.610883
0.777821,25,26.9693
0.886385,12,27.165403
0.0,100,28.555131
0.970299,3,28.625173
0.0,100,29.989082
0.0,100,31.33354
0.0,100,32.74452
0.0,100,34.099303
0.793614,23,34.429617
0.0,100,35.941338
0.826169,19,36.172442
0.484991,72,37.227721
0.970299,3,37.246649
0.904382,10,37.371178
0.0,100,38.683691
0.95099,5,38.745217
0.0,100,40.279837
0.960596,4,40.338772
0.0,100,41.745602
0.623525,47,42.455611
0.777821,25,42.876679
0.61729,48,43.549138
0.384896,95,45.182114
0.860058,15,45.416255
0.0,100,46.970232
0.904382,10,47.154283
0.851458,16,47.487894
0.682555,38,48.233494
0.710553,34,48.910535
0.7397,30,49.40134
0.793614,23,49.695217
0.842943,17,49.926959
0.904382,10,50.050539
0.895338,11,50.194175
0.9801,2,50.207044
0.569601,56,51.285256
0.587037,53,52.085296
0.0,100,53.757159
0.932065,7,53.865875
0.0,100,55.197932
0.94148,6,55.268312
0.0,100,56.630813
0.717731,33,57.065665
0.785678,24,57.395148
0.904382,10,57.52219
0.0,100,58.864814
0.0,100,60.255871
0.793614,23,60.636667
0.552683,59,61.806163
0.717731,33,62.452121
0.809728,21,62.800161
0.0,100,64.186349
0.793614,23,64.512637
0.0,100,65.868757
0.72498,32,66.286049
0.801631,22,66.611635
0.868746,14,66.818621
0.0,100,68.1976
0.922745,8,68.278697
0.581166,54,69.024173
0.826169,19,69.29137
0.587037,53,69.988244
0.0,100,71.411177
0.932065,7,71.540056
0.842943,17,71.760645
0.895338,11,71.9741
0.668972,40,72.769902
0.0,100,74.194944
0.793614,23,74.523725
0.793614,23,74.851098
0.834514,18,75.060967
0.904382,10,75.213091
0.0,100,77.101546
0.762343,27,77.505418
0.668972,40,78.079082
0.793614,23,78.446302
0.94148,6,78.533257
0.509986,67,79.591365
0.754719,28,79.931761
0.703448,35,80.394624
0.904382,10,80.613531
0.0,100,82.258146
0.710553,34,82.787624
0.99,1,82.794498
0.0,100,84.213413
0.629824,46,84.980402
0.0,100,86.660642
0.817907,20,86.966914
0.913517,9,87.058885
0.868746,14,87.253462
0.0,100,88.695154
0.0,100,90.247842
0.0,100,91.968765
0.785678,24,92.306007
0.842943,17,92.509647
0.851458,16,92.771721
0.0,100,94.2308
0.0,100,95.757592
0.0,100,97.233812
0.904382,10,97.386495
0.581166,54,98.12035
0.0,100,99.490587
0.0,100,100.815764
0.0,100,102.184586
0.94148,6,102.298017
0.710553,34,102.762161
0.649103,43,103.402705
0.0,100,104.735219
0.851458,16,104.930358
0.0,100,106.308014
0.801631,22,106.627542
0.0,100,107.91918
0.785678,24,108.195702
0.868746,14,108.375188
0.922745,8,108.488108
0.851458,16,108.685033
0.530906,63,109.485523
0.762343,27,109.872592
0.682555,38,110.494978
0.801631,22,111.028826
0.0,100,112.647119
0.732303,31,113.078534
0.0,100,114.44655
0.0,100,115.982937
0.0,100,117.548408
0.0,100,118.96552
0.868746,14,119.197832
0.710553,34,119.700385
0.655659,42,120.609097
0.0,100,122.031118
0.541685,61,122.859849
0.0,100,124.252447
0.94148,6,124.368176
0.904382,10,124.520533
0.777821,25,124.858544
0.0,100,126.290165
0.809728,21,126.581405
0.0,100,127.992416
0.499837,69,128.984047
0.0,100,130.391776
0.0,100,131.758848
0.655659,42,132.322778
0.913517,9,132.449974
0.598956,51,133.137494
0.668972,40,133.680092
0.785678,24,134.002419
0.762343,27,134.37758
0.675729,39,134.967512
0.860058,15,135.174047
0.655659,42,135.773398
0.793614,23,136.122355
0.0,100,137.532939
0.932065,7,137.616237
0.895338,11,137.796356
0.710553,34,138.216151
0.851458,16,138.475638
0.592966,52,139.142251
0.484991,72,140.08849
0.569601,56,141.085115
0.922745,8,141.191198
0.377237,97,142.615074
0.0,100,143.928715
0.826169,19,144.163981
0.598956,51,144.866204
0.392711,93,146.087511
0.689449,37,146.603193
0.886385,12,146.749035
0.592966,52,147.415902
0.598956,51,148.370845
0.72498,32,148.810669
0.0,100,150.157951
0.834514,18,150.440979
0.703448,35,150.906799
0.0,100,152.291652
0.809728,21,152.598185
0.9801,2,152.610885
0.851458,16,152.813833
0.747172,29,153.218223
0.95099,5,153.283995
0.0,100,154.71803
0.842943,17,154.955842
0.877521,13,155.101227
0.913517,9,155.226204
0.747172,29,155.701594
0.851458,16,155.936791
0.877521,13,156.129591
0.99,1,156.136234
0.0,100,157.604529
0.0,100,159.01734
0.0,100,160.41118
0.851458,16,160.639355
0.0,100,161.982966
0.0,100,163.326197
0.710553,34,163.78305
0.710553,34,164.249655
0.99,1,164.255971
0.717731,33,164.741023
0.904382,10,164.8791
0.0,100,166.338392
0.754719,28,166.754056
0.895338,11,166.898558
0.922745,8,167.019132
0.860058,15,167.216185
0.0,100,168.543197
0.0,100,169.84264
0.0,100,171.563842
0.0,100,172.911052
0.7397,30,173.345397
0.0,100,175.035504
0.72498,32,175.5632
