#{"t_start": 1732134109.336661, "env_id": "None"}
r,l,t
0.0,100,4.787142
0.0,100,6.418175
0.0,100,8.226545
0.0,100,9.891943
0.0,100,12.010286
0.0,100,13.572628
0.793614,23,13.972804
0.95099,5,14.063627
0.0,100,15.721878
0.0,100,17.182874
0.0,100,18.598404
0.826169,19,18.930227
0.834514,18,19.206907
0.0,100,20.752413
0.611117,49,21.483132
0.0,100,22.996251
0.801631,22,23.412418
0.461222,77,24.648828
0.0,100,26.172106
0.388784,94,27.907142
0.611117,49,28.818475
0.886385,12,29.011498
0.809728,21,29.359665
0.0,100,31.088946
0.0,100,32.718467
0.662282,41,33.330485
0.0,100,34.972704
0.452044,79,36.312176
0.94148,6,36.397485
0.877521,13,36.612334
0.834514,18,36.895737
0.770043,26,37.290439
0.932065,7,37.38066
0.0,100,38.858972
0.605006,50,39.595695
0.438618,82,41.222549
0.623525,47,41.9895
0.0,100,43.613442
0.717731,33,44.213195
0.0,100,45.886447
0.530906,63,46.87436
0.842943,17,47.157034
0.0,100,48.738065
0.0,100,50.285753
0.0,100,51.864213
0.886385,12,52.023815
0.0,100,53.56558
0.0,100,55.013682
0.809728,21,55.318357
0.0,100,56.963167
0.762343,27,57.479641
0.732303,31,57.998744
0.668972,40,58.612804
0.842943,17,58.850419
0.0,100,60.394522
0.443048,81,61.653826
0.970299,3,61.709353
0.0,100,63.19664
0.95099,5,63.265406
0.0,100,64.662184
0.0,100,66.079593
0.662282,41,66.684657
0.960596,4,66.746815
0.0,100,68.105682
0.515137,66,69.064339
0.499837,69,70.122236
0.842943,17,70.543236
0.0,100,72.29659
0.0,100,73.758698
0.717731,33,74.246387
0.809728,21,74.516606
0.94148,6,74.607833
0.0,100,76.080774
0.72498,32,76.526875
0.0,100,78.034331
0.587037,53,78.777202
0.970299,3,78.837068
0.801631,22,79.152017
0.465881,76,80.229054
0.0,100,81.602635
0.842943,17,81.831022
0.826169,19,82.104601
0.0,100,83.525424
0.0,100,84.872373
0.400685,91,86.115691
0.904382,10,86.250088
0.0,100,87.573605
0.826169,19,87.827693
0.0,100,89.139204
0.0,100,90.491796
0.0,100,91.819673
0.868746,14,92.014774
0.95099,5,92.080135
0.777821,25,92.424064
0.0,100,93.743615
0.0,100,95.043928
0.922745,8,95.133672
0.0,100,96.514865
0.94148,6,96.5911
0.970299,3,96.649846
0.860058,15,96.861694
0.0,100,98.283757
0.0,100,99.738544
0.605006,50,100.642798
0.732303,31,101.25606
0.541685,61,102.090483
0.0,100,103.712813
0.682555,38,104.356126
0.703448,35,104.966969
0.0,100,106.315886
0.801631,22,106.600218
0.95099,5,106.665447
0.754719,28,107.044633
0.696413,36,107.526847
0.94148,6,107.611354
0.801631,22,107.955709
0.904382,10,108.085337
0.563905,57,108.824732
0.0,100,110.14977
0.895338,11,110.284716
0.682555,38,110.811516
0.0,100,112.120731
0.777821,25,112.450541
0.0,100,113.802556
0.541685,61,114.602066
0.895338,11,114.734171
0.499837,69,115.642771
0.662282,41,116.178091
0.0,100,117.490663
0.0,100,118.809974
