#{"t_start": 1732123328.1332126, "env_id": "None"}
r,l,t
0.541685,61,1.983469
0.0,100,3.330842
0.0,100,4.680466
0.682555,38,5.161284
0.494839,70,6.100036
0.42559,85,7.239996
0.851458,16,7.466083
0.0,100,8.816346
0.41295,88,10.000269
0.434231,83,11.129308
0.696413,36,11.603925
0.0,100,12.966276
0.0,100,14.2791
0.913517,9,14.40251
0.7397,30,14.836367
0.61729,48,15.439013
0.922745,8,15.555308
0.770043,26,15.881423
0.72498,32,16.294502
0.710553,34,16.74924
0.0,100,18.089971
0.0,100,19.426135
0.0,100,20.768722
0.95099,5,20.833239
0.913517,9,20.955119
0.886385,12,21.098266
0.717731,33,21.549582
0.541685,61,22.348429
0.770043,26,22.675149
0.547157,60,23.59465
0.0,100,25.06478
0.0,100,26.366575
0.732303,31,26.791284
0.0,100,28.118033
0.809728,21,28.408602
0.605006,50,29.074712
0.826169,19,29.331458
0.0,100,30.638319
0.732303,31,31.035605
0.0,100,32.419348
0.877521,13,32.563937
0.0,100,33.898302
0.0,100,35.194113
0.834514,18,35.440136
0.762343,27,35.786136
0.710553,34,36.240082
0.834514,18,36.497042
0.642612,44,37.089841
0.922745,8,37.177616
0.541685,61,37.997029
0.970299,3,38.049834
0.0,100,39.382355
0.649103,43,39.952571
0.0,100,41.269938
0.842943,17,41.489455
0.0,100,42.860822
0.922745,8,42.981301
0.0,100,44.307331
0.94148,6,44.379918
0.558266,58,45.086182
0.842943,17,45.317871
0.0,100,46.544951
0.0,100,47.793483
0.877521,13,47.951629
0.9801,2,47.998075
0.94148,6,48.06807
0.754719,28,48.43711
0.754719,28,48.77901
0.95099,5,48.840332
0.793614,23,49.140439
0.932065,7,49.226379
0.95099,5,49.313924
0.0,100,50.587638
0.785678,24,50.888304
0.809728,21,51.14285
0.0,100,52.390231
0.922745,8,52.505921
0.877521,13,52.647121
0.0,100,54.161035
0.886385,12,54.326109
0.785678,24,54.648456
0.0,100,55.893132
0.0,100,57.170169
0.0,100,58.458035
0.770043,26,58.783844
0.0,100,60.04797
0.636185,45,60.62787
0.499837,69,61.567925
0.770043,26,61.894672
0.842943,17,62.094954
0.61729,48,62.733506
0.842943,17,62.945454
0.762343,27,63.306246
0.0,100,64.641609
0.61729,48,65.233883
0.826169,19,65.48009
0.36973,99,66.780622
0.834514,18,66.988441
0.785678,24,67.294514
0.94148,6,67.367756
0.0,100,68.644972
0.0,100,69.893989
0.0,100,71.134461
0.904382,10,71.261429
0.809728,21,71.545085
0.0,100,72.804362
0.710553,34,73.210473
0.9801,2,73.256028
0.696413,36,73.714605
0.0,100,74.953263
0.842943,17,75.154276
0.895338,11,75.31525
0.9801,2,75.328065
0.682555,38,75.823392
0.834514,18,76.022771
0.0,100,77.260823
0.0,100,78.506497
0.0,100,79.728916
0.0,100,80.971378
0.563905,57,81.692629
0.72498,32,82.087697
0.922745,8,82.199459
0.0,100,83.663784
0.42559,85,84.89035
0.0,100,86.172405
0.95099,5,86.237576
0.970299,3,86.255403
0.94148,6,86.324943
0.747172,29,86.716216
0.0,100,88.018094
0.904382,10,88.143419
0.754719,28,88.518289
0.0,100,89.82129
0.777821,25,90.139876
0.655659,42,90.648597
0.0,100,91.922642
0.762343,27,92.290715
0.801631,22,92.563097
0.99,1,92.577562
0.99,1,92.590404
0.0,100,93.879941
0.0,100,95.150848
0.762343,27,95.508101
0.0,100,96.769561
0.605006,50,97.426255
0.834514,18,97.640625
0.0,100,98.934703
0.649103,43,99.508643
0.860058,15,99.696431
0.0,100,100.977356
0.682555,38,101.501374
0.40882,89,102.666214
0.0,100,103.987743
0.793614,23,104.318522
0.0,100,105.64397
0.0,100,106.978939
0.0,100,108.334423
0.801631,22,108.620382
0.0,100,109.940913
0.0,100,111.267071
0.904382,10,111.419269
0.99,1,111.461345
0.817907,20,111.719273
0.0,100,113.043274
0.793614,23,113.382133
0.842943,17,113.794937
0.95099,5,113.87176
0.0,100,115.222823
0.0,100,116.552898
0.417121,87,117.70468
0.868746,14,117.902786
0.0,100,119.274977
0.0,100,120.597656
0.504886,68,121.460492
0.0,100,122.839007
0.851458,16,123.077161
0.785678,24,123.362315
0.770043,26,123.746075
0.0,100,125.072835
0.569601,56,125.808113
0.682555,38,126.275445
0.61729,48,126.924368
0.0,100,128.245175
0.575355,55,128.981475
0.0,100,130.292681
0.0,100,131.607433
0.0,100,132.934907
0.868746,14,133.1272
0.710553,34,133.591047
0.754719,28,133.95212
0.504886,68,134.903402
0.40882,89,136.094877
0.499837,69,137.008953
0.0,100,138.340904
0.99,1,138.387825
0.754719,28,138.732256
