#{"t_start": 1732128302.4646633, "env_id": "None"}
r,l,t
0.0,100,3.929043
0.0,100,5.274549
0.710553,34,5.7276
0.0,100,7.023398
0.388784,94,8.263362
0.0,100,9.619748
0.0,100,10.920753
0.0,100,12.208259
0.0,100,13.481424
0.0,100,14.761409
0.860058,15,14.952828
0.0,100,16.235091
0.913517,9,16.35635
0.655659,42,16.895062
0.72498,32,17.32776
0.793614,23,17.596017
0.0,100,18.876213
0.598956,51,19.535583
0.0,100,20.825886
0.777821,25,21.153768
0.770043,26,21.515218
0.536268,62,22.311466
0.0,100,23.600468
0.0,100,24.886874
0.762343,27,25.21937
0.0,100,26.552487
0.504886,68,27.489067
0.696413,36,27.949814
0.877521,13,28.142144
0.72498,32,28.542575
0.762343,27,28.924224
0.0,100,30.253746
0.834514,18,30.469617
0.913517,9,30.594367
0.960596,4,30.652406
0.95099,5,30.714664
0.0,100,32.349817
0.895338,11,32.506358
0.592966,52,33.17592
0.826169,19,33.430486
0.0,100,34.75147
0.598956,51,35.4181
0.842943,17,35.660932
0.922745,8,35.756367
0.563905,57,36.514569
0.0,100,37.80727
0.754719,28,38.140679
0.99,1,38.182122
0.793614,23,38.466825
0.851458,16,38.665335
0.860058,15,38.857902
0.960596,4,38.914218
0.785678,24,39.246029
0.94148,6,39.316287
0.886385,12,39.486992
0.877521,13,39.630175
0.0,100,40.963606
0.0,100,42.291202
0.793614,23,42.598611
0.0,100,43.892797
0.552683,59,44.665545
0.682555,38,45.164684
0.817907,20,45.422635
0.785678,24,45.738363
0.0,100,47.033999
0.95099,5,47.100245
0.0,100,48.414495
0.785678,24,48.730777
0.0,100,50.055441
0.868746,14,50.248371
0.0,100,51.528275
0.0,100,52.836555
0.762343,27,53.163221
0.598956,51,53.814758
0.0,100,55.117337
0.0,100,56.413684
0.0,100,57.726754
0.785678,24,58.058517
0.809728,21,58.328547
0.95099,5,58.394171
0.868746,14,58.587888
0.0,100,59.914116
0.710553,34,60.367695
0.826169,19,60.629864
0.842943,17,60.84041
0.877521,13,61.024257
0.817907,20,61.288332
0.877521,13,61.441474
0.785678,24,61.88491
0.770043,26,62.486242
0.7397,30,62.8726
0.770043,26,63.200272
0.960596,4,63.260198
0.0,100,64.564935
0.710553,34,65.019566
0.541685,61,65.806893
0.762343,27,66.174118
0.913517,9,66.267422
0.0,100,67.57381
0.0,100,68.878317
0.922745,8,68.997689
0.717731,33,69.432871
0.0,100,70.77522
0.636185,45,71.400694
0.0,100,72.725497
0.851458,16,72.932768
0.710553,34,73.376153
0.0,100,74.681146
0.0,100,76.000447
0.72498,32,76.406332
0.970299,3,76.462974
0.770043,26,76.796608
0.834514,18,77.012809
0.0,100,78.337999
0.662282,41,78.918572
0.904382,10,79.062069
0.0,100,80.408475
0.0,100,81.751136
0.0,100,83.085871
0.0,100,84.392131
0.826169,19,84.61103
0.0,100,85.902797
0.0,100,87.190116
0.970299,3,87.241724
0.0,100,88.53734
0.0,100,89.839447
0.0,100,91.128315
0.0,100,92.803607
0.809728,21,93.068481
0.0,100,94.368093
0.94148,6,94.439701
0.0,100,95.76437
0.960596,4,95.833889
0.710553,34,96.276732
0.99,1,96.283122
0.611117,49,96.908849
0.605006,50,97.548931
0.642612,44,98.119181
0.809728,21,98.379973
0.0,100,99.662569
0.0,100,101.011517
0.61729,48,101.709057
0.913517,9,101.797825
0.710553,34,102.248564
0.0,100,103.536663
0.636185,45,104.119161
0.0,100,105.409423
0.0,100,106.677705
0.99,1,106.68344
0.95099,5,106.745912
0.7397,30,107.132564
0.623525,47,107.754648
0.0,100,109.030872
0.61729,48,109.639466
0.0,100,110.929999
0.0,100,112.210737
0.817907,20,112.463208
0.960596,4,112.519714
0.0,100,113.822312
0.922745,8,113.938858
0.0,100,115.279474
0.770043,26,115.613826
0.0,100,116.911936
0.0,100,118.225849
0.0,100,119.512952
0.520341,65,120.357217
0.0,100,121.733808
0.793614,23,122.234943
0.0,100,123.603128
0.877521,13,123.757737
0.0,100,125.05955
0.0,100,126.363777
0.886385,12,126.54407
0.0,100,127.848909
0.61729,48,128.463064
0.0,100,129.788477
0.536268,62,130.679487
0.913517,9,130.769158
0.860058,15,130.962719
0.0,100,132.329305
0.0,100,133.660348
0.696413,36,134.163326
0.0,100,135.486959
0.895338,11,135.617116
0.868746,14,135.811321
0.605006,50,136.448696
0.558266,58,137.215535
0.0,100,138.515385
0.0,100,139.807459
0.99,1,139.813118
0.0,100,141.09543
0.877521,13,141.278889
0.95099,5,141.344359
0.0,100,142.678686
0.0,100,143.995672
0.0,100,145.306988
0.0,100,146.602548
0.0,100,147.936223
0.558266,58,148.700197
0.826169,19,148.917602
0.0,100,150.19054
0.960596,4,150.251384
0.0,100,151.527824
0.0,100,153.135551
0.895338,11,153.2692
0.762343,27,153.644054
0.0,100,154.954742
0.0,100,156.261493
0.0,100,157.550136
0.826169,19,157.798535
0.417121,87,158.948096
0.0,100,160.2676
0.842943,17,160.523552
0.904382,10,160.653666
0.655659,42,161.270818
0.817907,20,161.532234
0.826169,19,161.785416
0.575355,55,162.512912
0.904382,10,162.640168
0.895338,11,162.778066
0.0,100,164.125776
0.710553,34,164.581531
0.762343,27,164.925148
0.7397,30,165.309112
0.0,100,166.5749
0.785678,24,166.901516
0.732303,31,167.289381
0.0,100,168.603798
0.868746,14,168.800896
0.0,100,170.128816
0.94148,6,170.20217
0.785678,24,170.522517
0.754719,28,170.877547
0.649103,43,171.44778
0.922745,8,171.566858
0.817907,20,171.829359
0.649103,43,172.387398
0.0,100,173.709502
0.95099,5,173.771889
0.0,100,175.078147
0.785678,24,175.398972
0.0,100,176.698418
0.689449,37,177.162747
0.623525,47,177.789336
0.913517,9,177.911597
0.0,100,179.215649
0.747172,29,179.560987
0.809728,21,179.857464
0.868746,14,180.011023
0.842943,17,180.254367
0.581166,54,180.95252
0.895338,11,181.092422
0.9801,2,181.104074
0.655659,42,181.831307
0.842943,17,182.169142
0.0,100,183.57406
0.396678,92,184.748389
0.0,100,186.059685
0.0,100,187.394825
0.0,100,188.69969
0.0,100,189.99345
0.443048,81,191.141128
0.717731,33,191.592274
0.668972,40,192.113267
0.0,100,193.42134
0.860058,15,193.619095
0.826169,19,193.871386
0.675729,39,194.396719
0.732303,31,194.799822
0.834514,18,195.04531
0.0,100,196.34111
0.0,100,197.630501
0.913517,9,197.718507
0.0,100,199.064667
0.675729,39,199.590122
0.970299,3,199.642496
0.0,100,200.931113
0.793614,23,201.202801
0.484991,72,202.172387
0.777821,25,202.495603
0.72498,32,202.89489
0.0,100,204.155742
0.99,1,204.163775
0.0,100,205.475682
0.703448,35,205.909785
0.9801,2,205.956807
0.886385,12,206.095704
0.0,100,207.388209
0.932065,7,207.500875
0.0,100,208.818743
0.960596,4,208.842153
0.0,100,210.156919
0.0,100,211.47338
0.0,100,213.100063
0.95099,5,213.162252
0.0,100,214.435118
0.0,100,215.776224
0.575355,55,216.531661
0.0,100,217.850487
0.0,100,219.150726
0.72498,32,219.596734
0.649103,43,220.126915
0.0,100,221.522505
0.877521,13,221.703957
0.0,100,222.974587
0.662282,41,223.483999
0.623525,47,224.108835
0.0,100,225.425013
0.0,100,226.697307
0.9801,2,226.709196
0.9801,2,226.720359
0.834514,18,226.965537
0.0,100,228.256163
0.0,100,229.575719
0.0,100,230.875376
0.970299,3,230.926027
0.0,100,232.220795
0.817907,20,232.482863
0.868746,14,232.630626
0.877521,13,232.811929
0.793614,23,233.132529
0.0,100,234.501619
0.777821,25,234.818932
0.0,100,236.121685
0.0,100,237.401447
0.970299,3,237.418196
0.0,100,238.696651
0.762343,27,239.068323
0.0,100,240.344059
0.0,100,241.657148
0.842943,17,242.01484
0.0,100,243.44744
0.868746,14,243.641891
0.662282,41,244.172783
0.99,1,244.179373
0.0,100,245.502387
0.868746,14,245.699216
0.703448,35,246.161514
0.0,100,247.454735
0.655659,42,247.999584
0.809728,21,248.298406
0.461222,77,249.310592
0.642612,44,249.896273
0.0,100,251.23393
0.886385,12,251.411968
0.682555,38,251.964854
0.0,100,253.269407
0.826169,19,253.519777
0.710553,34,253.942748
0.696413,36,254.457
0.895338,11,254.588351
0.0,100,255.895337
0.0,100,257.187232
0.623525,47,257.793906
0.913517,9,257.919316
0.0,100,259.242939
0.72498,32,259.647684
0.932065,7,259.757026
0.61729,48,260.363377
0.0,100,261.642906
0.0,100,262.920324
0.770043,26,263.289476
0.834514,18,263.499023
0.817907,20,263.757746
0.662282,41,264.290502
0.732303,31,264.721035
0.61729,48,265.320678
0.668972,40,265.82481
0.0,100,267.089954
0.0,100,268.393918
0.0,100,269.728951
0.747172,29,270.113925
0.817907,20,270.373269
0.0,100,271.729134
0.0,100,273.334831
0.0,100,274.623501
0.826169,19,274.876189
0.886385,12,275.019483
0.0,100,276.34076
0.960596,4,276.400278
0.834514,18,276.643599
0.0,100,277.943611
0.0,100,279.248894
0.960596,4,279.27711
0.575355,55,279.998042
0.605006,50,280.717716
0.0,100,282.090423
0.0,100,283.395593
0.777821,25,283.721817
0.834514,18,283.969134
0.0,100,285.266617
0.817907,20,285.565437
0.834514,18,285.81049
0.0,100,287.127584
0.922745,8,287.211312
0.793614,23,287.539342
0.0,100,288.863693
0.834514,18,289.074656
0.0,100,290.376702
0.598956,51,291.0569
0.0,100,292.35377
0.99,1,292.360386
0.0,100,293.64962
0.932065,7,293.72643
0.0,100,295.027086
0.95099,5,295.096221
0.47534,74,296.065868
0.95099,5,296.131315
0.826169,19,296.379745
0.99,1,296.386718
0.0,100,297.717042
0.0,100,299.025198
0.904382,10,299.15686
0.0,100,300.477156
0.0,100,301.865451
0.668972,40,302.672715
0.598956,51,303.329424
0.0,100,304.635986
0.868746,14,304.827463
0.817907,20,305.088361
0.970299,3,305.141486
0.793614,23,305.436936
0.710553,34,305.892132
0.61729,48,306.538416
0.913517,9,306.638772
0.536268,62,307.494906
0.922745,8,307.579623
0.922745,8,307.70451
0.932065,7,307.782252
0.0,100,309.126275
0.851458,16,309.380233
0.9801,2,309.392149
0.373464,98,310.765882
0.636185,45,311.405864
0.629824,46,312.04363
0.623525,47,312.646743
0.547157,60,313.41983
0.0,100,314.743124
0.689449,37,315.244589
0.675729,39,315.734669
0.0,100,317.061509
0.817907,20,317.327482
0.61729,48,317.978663
0.922745,8,318.105659
0.592966,52,318.76437
0.747172,29,319.148978
0.0,100,320.462873
0.770043,26,320.797288
0.0,100,322.129992
0.0,100,323.44136
0.877521,13,323.61967
0.0,100,324.940348
0.826169,19,325.157446
0.834514,18,325.417276
0.0,100,326.701689
0.0,100,328.01645
0.682555,38,328.5279
0.530906,63,329.337086
0.717731,33,329.767448
0.0,100,331.051659
0.99,1,331.057431
0.558266,58,331.96268
0.563905,57,332.931969
0.717731,33,333.366049
0.0,100,334.69371
0.575355,55,335.407248
0.0,100,336.712533
0.0,100,338.011047
0.0,100,339.322497
0.72498,32,339.731567
0.0,100,341.113504
0.72498,32,341.572004
0.9801,2,341.617284
0.932065,7,341.694139
0.520341,65,342.542793
0.703448,35,342.997631
0.732303,31,343.399501
0.0,100,344.716627
0.0,100,346.014559
0.0,100,347.319554
0.785678,24,347.633737
0.0,100,348.974232
0.0,100,350.280561
0.0,100,351.582798
0.0,100,352.937199
0.770043,26,353.278358
0.0,100,354.622571
0.817907,20,354.879164
0.0,100,356.183449
0.851458,16,356.420074
0.668972,40,356.950664
0.525596,64,357.795139
0.777821,25,358.131865
0.834514,18,358.377956
0.842943,17,358.591002
0.0,100,359.887379
0.747172,29,360.268337
0.877521,13,360.453583
0.886385,12,360.607024
0.809728,21,360.863539
0.452044,79,362.008949
0.0,100,363.556703
0.689449,37,364.059944
0.0,100,365.369351
0.754719,28,365.755423
0.0,100,367.045947
0.834514,18,367.292805
0.689449,37,367.769725
0.777821,25,368.089342
0.0,100,369.371029
0.0,100,370.673827
0.817907,20,370.98911
0.801631,22,371.279179
0.0,100,372.617676
0.0,100,373.933932
0.904382,10,374.07907
0.842943,17,374.290691
0.0,100,375.616455
0.777821,25,375.934805
0.0,100,377.241766
0.970299,3,377.29562
0.877521,13,377.448289
0.649103,43,378.034577
0.0,100,379.343864
0.0,100,380.674019
0.0,100,381.997071
0.629824,46,382.588095
0.0,100,383.922888
0.94148,6,383.994767
0.72498,32,384.445182
0.793614,23,384.725089
0.0,100,386.029252
0.0,100,387.349442
0.0,100,388.666786
0.826169,19,388.914602
0.970299,3,388.970201
0.851458,16,389.167485
0.0,100,390.463456
0.851458,16,390.661524
0.689449,37,391.130652
0.668972,40,391.640435
0.0,100,393.293467
0.717731,33,393.742153
0.801631,22,394.014521
0.9801,2,394.071883
0.0,100,395.407479
0.762343,27,395.75109
0.0,100,397.071584
0.932065,7,397.185135
0.0,100,398.493066
0.575355,55,399.227418
0.785678,24,399.556525
0.0,100,400.956429
0.886385,12,401.135426
0.747172,29,401.564589
0.636185,45,402.158569
0.0,100,403.468176
0.0,100,404.785402
0.0,100,406.103011
0.851458,16,406.304932
0.662282,41,406.835197
0.0,100,408.170761
0.970299,3,408.224663
0.0,100,409.536422
0.0,100,410.849324
0.0,100,412.162377
0.826169,19,412.377004
0.642612,44,412.947533
0.642612,44,413.532571
0.668972,40,414.055521
0.886385,12,414.202727
0.0,100,415.488107
0.0,100,416.803035
0.0,100,418.108764
0.0,100,419.416395
0.785678,24,419.727104
0.762343,27,420.099147
0.877521,13,420.250734
0.530906,63,421.098324
0.904382,10,421.230947
0.754719,28,421.575149
0.0,100,423.224779
0.0,100,424.58622
0.0,100,425.909279
0.0,100,427.211838
0.877521,13,427.393986
0.922745,8,427.52797
0.629824,46,428.115008
0.754719,28,428.45818
0.61729,48,429.098163
0.696413,36,429.575111
0.94148,6,429.642366
0.0,100,430.975965
0.842943,17,431.210107
0.0,100,432.559311
0.655659,42,433.082891
0.922745,8,433.198021
0.0,100,434.534382
0.932065,7,434.60844
0.0,100,435.921004
0.0,100,437.230552
0.9801,2,437.277122
0.7397,30,437.670645
0.0,100,438.980771
0.0,100,440.27384
0.817907,20,440.537509
0.689449,37,441.00438
0.904382,10,441.127563
0.886385,12,441.274803
0.0,100,442.588667
0.94148,6,442.70132
0.0,100,444.018124
0.851458,16,444.224944
0.913517,9,444.351044
0.842943,17,444.56407
0.913517,9,444.689395
0.0,100,445.987156
0.0,100,447.314996
0.0,100,448.630631
0.834514,18,448.845536
0.0,100,450.1939
0.0,100,451.491047
0.886385,12,451.667487
0.0,100,453.310153
0.0,100,454.649715
0.0,100,455.984422
0.682555,38,456.462851
0.801631,22,456.772326
0.0,100,458.0748
0.611117,49,458.716657
0.826169,19,458.942466
0.868746,14,459.128637
0.0,100,460.42983
0.826169,19,460.688354
0.970299,3,460.744183
0.842943,17,461.001631
0.581166,54,461.755129
0.0,100,463.043094
0.0,100,464.34277
0.629824,46,464.934986
0.785678,24,465.248484
0.717731,33,465.657943
0.913517,9,465.779814
0.770043,26,466.117601
0.0,100,467.479
0.0,100,468.798569
0.636185,45,469.399716
0.801631,22,469.731553
0.809728,21,469.99366
0.0,100,471.306551
0.520341,65,472.1642
0.877521,13,472.348311
0.623525,47,472.964144
0.860058,15,473.162456
0.0,100,474.470184
0.0,100,475.742242
0.793614,23,476.048739
0.904382,10,476.18313
0.0,100,477.477697
0.886385,12,477.619579
0.970299,3,477.673274
0.877521,13,477.819365
0.970299,3,477.875391
0.860058,15,478.074552
0.94148,6,478.148966
0.0,100,479.465388
0.860058,15,479.66098
0.0,100,480.996354
0.0,100,482.624487
0.970299,3,482.711143
0.668972,40,483.241694
0.0,100,484.58844
0.785678,24,484.875789
0.689449,37,485.389465
0.877521,13,485.545877
0.0,100,486.853586
0.895338,11,487.023942
0.0,100,488.336771
0.834514,18,488.549266
0.61729,48,489.189784
0.0,100,490.499019
0.0,100,491.926412
0.851458,16,492.125108
0.826169,19,492.388096
0.770043,26,492.716952
0.834514,18,492.968732
0.0,100,494.287107
0.47534,74,495.201504
0.682555,38,495.706287
0.842943,17,495.905345
0.868746,14,496.093372
0.7397,30,496.478411
0.0,100,497.755489
0.0,100,499.052424
0.922745,8,499.167817
0.575355,55,499.889903
0.895338,11,500.059986
0.851458,16,500.260834
0.754719,28,500.646357
0.922745,8,500.726612
0.0,100,502.020374
0.662282,41,502.586077
0.886385,12,502.725724
0.0,100,504.035641
0.960596,4,504.094117
0.0,100,505.462529
0.0,100,506.778193
0.785678,24,507.093277
0.536268,62,507.894836
0.0,100,509.172771
0.42559,85,510.295178
0.922745,8,510.413826
0.696413,36,510.892738
0.0,100,512.461483
0.0,100,513.871166
0.689449,37,514.3544
0.0,100,515.685498
0.817907,20,515.939907
0.0,100,517.240843
0.860058,15,517.473758
0.922745,8,517.592666
0.0,100,518.879837
0.717731,33,519.283778
0.0,100,520.581162
0.970299,3,520.644111
0.895338,11,520.787687
0.0,100,522.194926
0.581166,54,522.909939
0.0,100,524.227857
0.0,100,525.541129
0.0,100,526.844718
0.717731,33,527.292073
0.668972,40,527.81388
0.732303,31,528.208908
0.94148,6,528.280149
0.0,100,529.607942
0.99,1,529.613776
