#{"t_start": 1732116548.787036, "env_id": "None"}
r,l,t
0.0,100,3.270064
0.0,100,4.664443
0.0,100,6.171723
0.429889,84,7.348405
0.0,100,8.852849
0.447523,80,10.225226
0.0,100,11.652563
0.809728,21,11.928208
0.0,100,13.342047
0.747172,29,13.747527
0.0,100,15.158616
0.0,100,16.657216
0.452044,79,17.875051
0.754719,28,18.30126
0.0,100,19.785511
0.41295,88,21.255942
0.0,100,22.875875
0.0,100,24.49383
0.834514,18,24.857819
0.717731,33,25.321753
0.932065,7,25.45425
0.809728,21,25.76096
0.0,100,27.175838
0.0,100,28.553484
0.932065,7,28.630332
0.649103,43,29.271225
0.809728,21,29.571429
0.655659,42,30.417467
0.0,100,31.775279
0.0,100,33.165804
0.851458,16,33.373687
0.494839,70,34.324055
0.0,100,35.689401
0.629824,46,36.295725
0.0,100,37.632112
0.689449,37,38.119187
0.95099,5,38.185292
0.0,100,39.606127
0.558266,58,40.41334
0.703448,35,40.87737
0.642612,44,41.47129
0.0,100,42.806148
0.851458,16,43.011652
0.94148,6,43.085325
0.470587,75,44.143866
0.509986,67,45.069278
0.842943,17,45.282399
0.932065,7,45.360397
0.0,100,46.897225
0.7397,30,47.29656
0.932065,7,47.408985
0.785678,24,47.731874
0.636185,45,48.336874
0.0,100,49.700661
0.960596,4,49.727146
0.642612,44,50.329913
0.0,100,51.713063
0.747172,29,52.112129
0.0,100,53.448262
0.817907,20,53.708941
0.0,100,55.091054
0.970299,3,55.145841
0.696413,36,55.62454
0.0,100,56.974003
0.703448,35,57.438732
0.809728,21,57.704726
0.801631,22,57.990132
0.9801,2,58.03766
0.895338,11,58.173643
0.0,100,59.554096
0.0,100,60.897744
0.668972,40,61.440752
0.0,100,62.798572
0.9801,2,62.811471
0.801631,22,63.12562
0.484991,72,64.102917
0.99,1,64.109224
0.689449,37,64.633254
0.95099,5,64.706279
0.0,100,66.04817
0.0,100,67.373003
0.710553,34,67.829998
0.801631,22,68.12017
0.762343,27,68.470423
0.0,100,69.849268
0.842943,17,70.119701
0.826169,19,70.377862
0.777821,25,70.715589
0.868746,14,70.874722
0.0,100,72.214557
0.0,100,73.537305
0.0,100,74.881786
0.95099,5,74.948712
0.95099,5,75.021142
0.0,100,76.340055
0.0,100,77.654648
0.0,100,79.007775
0.932065,7,79.12255
0.0,100,80.471122
0.801631,22,80.755272
0.0,100,82.124918
0.932065,7,82.240721
0.0,100,83.590021
0.662282,41,84.147459
0.834514,18,84.372158
0.922745,8,84.49444
0.94148,6,84.569541
0.842943,17,84.829655
0.801631,22,85.121025
0.960596,4,85.184376
0.689449,37,85.718081
0.655659,42,86.3299
0.860058,15,86.533862
0.895338,11,86.676062
0.904382,10,86.808708
0.801631,22,87.097149
0.636185,45,87.700314
0.0,100,89.030081
0.0,100,90.341136
0.0,100,91.674741
0.0,100,93.012154
0.904382,10,93.143472
0.826169,19,93.402689
0.0,100,94.76285
0.470587,75,95.773948
0.842943,17,95.981941
0.682555,38,96.496359
0.0,100,97.824135
0.636185,45,98.404453
0.7397,30,98.813154
0.0,100,100.160804
0.809728,21,100.432712
0.682555,38,100.952572
0.0,100,102.255933
0.0,100,103.605439
0.0,100,104.962822
0.922745,8,105.056425
0.0,100,106.391061
0.0,100,107.73844
0.877521,13,107.920248
0.703448,35,108.393767
0.842943,17,108.611079
0.0,100,109.949724
0.0,100,111.295171
0.809728,21,111.592913
0.438618,82,112.647868
0.509986,67,113.531654
0.886385,12,113.719218
0.0,100,115.060844
0.0,100,116.385913
0.95099,5,116.453814
0.0,100,117.789376
0.9801,2,117.800631
0.777821,25,118.125576
0.598956,51,118.786232
0.0,100,120.15661
0.0,100,121.482265
0.689449,37,121.994389
0.717731,33,122.410266
0.0,100,123.73674
0.793614,23,124.050294
0.7397,30,124.447898
0.0,100,125.789441
0.877521,13,125.969434
0.747172,29,126.355318
0.629824,46,126.988118
0.0,100,128.293886
0.0,100,129.620493
0.48989,71,130.555171
0.0,100,131.888219
0.922745,8,131.971852
0.0,100,133.311858
0.0,100,134.635298
0.587037,53,135.386976
0.45661,78,136.424003
0.530906,63,137.224118
0.0,100,138.590135
0.747172,29,138.986877
0.842943,17,139.197432
0.860058,15,139.396216
0.895338,11,139.567667
0.0,100,140.895078
0.0,100,142.211828
0.801631,22,142.489724
0.520341,65,143.339968
0.762343,27,143.687011
0.913517,9,143.813902
0.0,100,145.154361
0.770043,26,145.493147
0.809728,21,145.804558
0.877521,13,145.95246
0.0,100,147.293878
0.777821,25,147.633943
0.0,100,148.953795
0.0,100,150.307343
0.762343,27,150.681801
0.0,100,151.992743
0.0,100,153.303665
0.0,100,154.644876
0.0,100,156.047589
0.817907,20,156.313821
0.0,100,157.64942
0.960596,4,157.675112
0.642612,44,158.256807
0.913517,9,158.384805
0.877521,13,158.567785
0.94148,6,158.639139
0.0,100,159.971607
0.826169,19,160.232343
0.682555,38,160.714225
0.0,100,162.065196
0.922745,8,162.183944
0.0,100,163.515918
0.793614,23,163.808886
0.0,100,165.139178
0.0,100,166.573872
0.72498,32,167.147174
0.747172,29,167.546364
0.0,100,168.889281
0.703448,35,169.373191
0.960596,4,169.399135
0.0,100,170.770277
0.0,100,172.14839
0.0,100,173.579032
0.0,100,174.915483
0.960596,4,174.983506
0.95099,5,175.077337
0.932065,7,175.191774
0.94148,6,175.261872
0.0,100,176.619098
0.960596,4,176.679518
0.575355,55,177.400991
0.886385,12,177.550149
0.0,100,178.879446
0.0,100,180.224051
0.541685,61,181.034347
0.842943,17,181.27866
0.809728,21,181.557236
0.932065,7,181.635989
0.834514,18,181.896333
0.710553,34,182.368956
0.0,100,183.69898
0.649103,43,184.265867
0.860058,15,184.46278
0.886385,12,184.647159
0.922745,8,184.731117
0.655659,42,185.312982
0.834514,18,185.533153
0.689449,37,186.064809
0.682555,38,186.548489
0.9801,2,186.597438
0.675729,39,187.102144
0.99,1,187.145042
0.0,100,188.49034
0.0,100,189.81523
0.0,100,191.188018
0.0,100,192.537372
0.0,100,193.884766
0.0,100,195.253622
0.0,100,196.62343
0.592966,52,197.296314
0.785678,24,197.613989
0.7397,30,198.013675
0.443048,81,199.078453
0.0,100,200.414851
0.662282,41,200.950996
0.605006,50,201.611109
0.0,100,202.975425
0.0,100,204.325805
0.817907,20,204.594124
0.762343,27,204.970094
0.0,100,206.315532
0.623525,47,206.912644
