#{"t_start": 1732115541.7469177, "env_id": "None"}
r,l,t
0.0,100,3.888415
0.0,100,5.33778
0.0,100,6.758359
0.0,100,8.230387
0.0,100,9.829455
0.675729,39,10.439037
0.41295,88,11.743485
0.0,100,13.110402
0.0,100,14.567242
0.520341,65,15.475
0.0,100,17.03353
0.0,100,18.575217
0.569601,56,19.353374
0.0,100,20.755545
0.0,100,22.286452
0.605006,50,23.104066
0.0,100,24.594222
0.649103,43,25.380365
0.717731,33,25.898225
0.0,100,27.439453
0.0,100,28.933742
0.817907,20,29.215327
0.809728,21,29.486335
0.0,100,30.907402
0.922745,8,31.050226
0.0,100,32.369537
0.877521,13,32.553449
0.793614,23,32.833578
0.0,100,34.152205
0.0,100,35.470708
0.668972,40,35.988236
0.770043,26,36.324332
0.960596,4,36.383028
0.0,100,37.700614
0.61729,48,38.337175
0.842943,17,38.539612
0.0,100,39.948304
0.689449,37,40.443959
0.99,1,40.449781
0.777821,25,40.775239
0.668972,40,41.293367
0.904382,10,41.424163
0.851458,16,41.628744
0.809728,21,41.888086
0.922745,8,42.00389
0.762343,27,42.337479
0.960596,4,42.395745
0.960596,4,42.456195
0.682555,38,42.955032
0.611117,49,43.603191
0.0,100,44.906566
0.0,100,46.229275
0.842943,17,46.473311
0.842943,17,46.677978
0.762343,27,47.014381
0.629824,46,47.635674
0.801631,22,47.903671
0.777821,25,48.223574
0.0,100,49.504955
0.515137,66,50.350681
0.868746,14,50.536136
0.0,100,51.834968
0.922745,8,51.95333
0.0,100,53.219801
0.675729,39,53.693909
0.0,100,55.005826
0.932065,7,55.124676
0.0,100,56.470676
0.623525,47,57.067823
0.777821,25,57.398697
0.0,100,58.686077
0.0,100,59.987307
0.868746,14,60.173482
0.0,100,61.492033
0.40882,89,62.66082
0.0,100,63.952983
0.0,100,65.266142
0.0,100,66.566346
0.754719,28,66.911473
0.0,100,68.227291
0.0,100,69.563148
0.904382,10,69.696991
0.0,100,71.018239
0.0,100,72.349948
0.9801,2,72.397212
0.515137,66,73.238609
0.61729,48,73.869252
0.886385,12,74.009038
0.649103,43,74.570677
0.801631,22,74.846299
0.895338,11,74.977833
0.480141,73,75.922945
0.851458,16,76.119664
0.9801,2,76.131627
0.0,100,77.408903
0.777821,25,77.72982
0.696413,36,78.219621
0.0,100,79.478489
0.0,100,80.78546
0.0,100,82.099374
0.817907,20,82.362842
0.922745,8,82.448914
0.0,100,83.758234
0.801631,22,84.066434
0.552683,59,84.797431
0.0,100,86.069949
0.0,100,87.348579
0.629824,46,87.981117
0.0,100,89.280652
0.558266,58,90.04993
0.0,100,91.323205
0.649103,43,91.888583
0.0,100,93.157571
0.0,100,94.639706
0.0,100,95.939426
0.747172,29,96.322825
0.960596,4,96.348025
0.0,100,97.662739
0.0,100,98.967783
0.809728,21,99.259433
0.0,100,100.535021
0.868746,14,100.694331
0.530906,63,101.522746
0.801631,22,101.785872
0.95099,5,101.848876
0.629824,46,102.467143
0.0,100,103.75641
0.809728,21,104.03084
0.0,100,105.31863
0.0,100,106.668416
0.0,100,107.989051
0.886385,12,108.131187
0.922745,8,108.249815
0.9801,2,108.26211
0.895338,11,108.398673
0.0,100,109.723147
0.696413,36,110.227545
0.0,100,111.566955
0.0,100,112.866133
0.0,100,114.145737
0.655659,42,114.667162
0.851458,16,114.862703
0.886385,12,115.036108
0.0,100,116.321674
0.809728,21,116.58467
0.0,100,117.868023
0.826169,19,118.118097
0.0,100,119.38471
0.0,100,120.704986
0.932065,7,120.784286
0.785678,24,121.096175
0.960596,4,121.156314
0.0,100,122.4461
0.747172,29,122.790821
0.0,100,124.079642
0.581166,54,124.825146
0.0,100,126.134682
0.0,100,127.423413
0.587037,53,128.120958
0.655659,42,128.646951
0.0,100,129.941616
0.9801,2,129.996082
0.0,100,131.273207
0.61729,48,131.877519
0.886385,12,132.066963
0.860058,15,132.256033
0.0,100,133.566238
0.0,100,134.855718
0.960596,4,134.879799
0.809728,21,135.196879
0.932065,7,135.274154
0.754719,28,135.648379
0.377237,97,136.902087
0.904382,10,137.031465
0.0,100,138.341817
0.509986,67,139.198731
0.877521,13,139.378104
0.932065,7,139.458207
0.7397,30,139.893986
0.868746,14,140.084233
0.710553,34,140.52306
0.747172,29,140.900229
0.868746,14,141.085558
0.851458,16,141.28222
0.0,100,142.572322
0.785678,24,142.886681
0.0,100,144.18011
0.932065,7,144.255075
0.0,100,145.553261
0.860058,15,145.763103
0.801631,22,146.027569
0.0,100,147.329925
0.895338,11,147.496106
0.636185,45,148.075479
0.0,100,149.355438
0.0,100,150.653723
0.0,100,151.955124
0.0,100,153.239531
0.0,100,154.513393
0.7397,30,154.906077
0.0,100,156.203681
0.655659,42,156.737295
0.0,100,158.061368
0.0,100,159.358125
0.0,100,160.676241
0.0,100,161.963097
0.770043,26,162.289207
0.0,100,163.570929
0.817907,20,163.832454
0.922745,8,163.950718
