#{"t_start": 1732114497.2117152, "env_id": "None"}
r,l,t
0.0,100,3.355605
0.0,100,4.82827
0.662282,41,5.481732
0.895338,11,5.650237
0.0,100,7.100282
0.868746,14,7.338882
0.0,100,8.865357
0.0,100,10.278788
0.587037,53,10.960072
0.72498,32,11.41014
0.809728,21,11.689378
0.94148,6,11.758989
0.0,100,13.166817
0.95099,5,13.237993
0.770043,26,13.608543
0.623525,47,14.277834
0.7397,30,14.714786
0.0,100,16.163713
0.826169,19,16.464947
0.515137,66,17.581697
0.851458,16,17.788483
0.438618,82,18.884203
0.0,100,20.255512
0.0,100,21.880567
0.922745,8,22.000261
0.0,100,23.409804
0.762343,27,23.781583
0.777821,25,24.144739
0.99,1,24.151829
0.0,100,25.525913
0.447523,80,26.704971
0.877521,13,26.975782
0.0,100,28.438938
0.0,100,29.865032
0.0,100,31.355559
0.777821,25,31.706685
0.48989,71,32.772134
0.0,100,34.213231
0.842943,17,34.596741
0.552683,59,35.484398
0.575355,55,36.224376
0.817907,20,36.50567
0.0,100,37.932101
0.0,100,39.369011
0.662282,41,40.007714
0.826169,19,40.273648
0.770043,26,40.69748
0.877521,13,40.900239
0.0,100,42.46787
0.48989,71,43.436154
0.0,100,44.951536
0.0,100,46.476859
0.9801,2,46.54701
0.94148,6,46.636608
0.913517,9,46.798408
0.0,100,48.252378
0.0,100,49.671798
0.904382,10,49.877538
0.877521,13,50.057106
0.662282,41,50.749062
0.0,100,52.353776
0.696413,36,52.824713
0.95099,5,52.895723
0.0,100,54.418967
0.960596,4,54.479815
0.99,1,54.48607
0.0,100,56.054739
0.770043,26,56.397341
0.860058,15,56.596495
0.95099,5,56.674836
0.668972,40,57.385319
0.860058,15,57.614433
0.851458,16,57.836194
0.0,100,59.216441
0.689449,37,59.731087
0.592966,52,60.410337
0.913517,9,60.541941
0.0,100,61.924097
0.0,100,63.358084
0.0,100,64.770161
0.9801,2,64.784342
0.747172,29,65.246955
0.662282,41,65.877177
0.785678,24,66.224849
0.0,100,67.630252
0.777821,25,67.987037
0.0,100,69.526721
0.932065,7,69.616378
0.0,100,71.013344
0.587037,53,71.722381
0.0,100,73.090717
0.0,100,74.413573
0.860058,15,74.609418
0.0,100,76.001379
0.842943,17,76.217169
0.842943,17,76.504768
0.0,100,77.838299
0.801631,22,78.110489
0.94148,6,78.180118
0.0,100,79.522971
0.581166,54,80.228796
0.895338,11,80.369437
0.696413,36,80.949496
0.895338,11,81.086567
0.0,100,82.431115
0.0,100,83.767803
0.0,100,85.1641
0.732303,31,85.614176
0.668972,40,86.153026
0.793614,23,86.550362
0.0,100,88.026296
0.960596,4,88.051827
0.61729,48,88.762483
0.960596,4,88.828532
0.0,100,90.44293
0.0,100,91.921618
0.0,100,93.513166
0.960596,4,93.591844
0.95099,5,93.681847
0.95099,5,93.757519
0.0,100,95.366196
0.72498,32,95.864446
0.0,100,97.448688
0.0,100,98.867842
0.0,100,100.319643
0.717731,33,100.828088
0.0,100,102.234685
0.0,100,103.75923
0.777821,25,104.102373
0.809728,21,104.394278
0.922745,8,104.483324
0.842943,17,104.736443
0.605006,50,105.493801
0.717731,33,105.912884
0.826169,19,106.172941
0.552683,59,106.997603
0.703448,35,107.464356
0.0,100,108.908658
0.922745,8,109.03464
0.932065,7,109.132043
0.655659,42,109.705085
0.834514,18,109.976384
0.94148,6,110.043648
0.95099,5,110.11374
0.0,100,111.692384
0.932065,7,111.804627
0.0,100,113.19442
0.922745,8,113.28565
0.717731,33,113.773193
0.717731,33,114.216933
0.0,100,115.643633
0.0,100,117.039811
0.480141,73,118.019322
0.0,100,119.405367
0.0,100,120.951093
0.569601,56,121.842381
0.94148,6,121.928607
0.710553,34,122.442087
0.0,100,124.104089
0.682555,38,124.741238
0.682555,38,125.298741
0.877521,13,125.570696
0.0,100,127.050962
0.0,100,128.450505
0.826169,19,128.700504
0.817907,20,128.966697
0.0,100,130.358061
0.598956,51,131.035101
0.0,100,132.403007
0.886385,12,132.547656
0.809728,21,132.859845
0.970299,3,132.880713
0.520341,65,133.821876
0.732303,31,134.220096
0.94148,6,134.325939
0.0,100,135.771799
0.0,100,137.224747
0.754719,28,137.698889
0.913517,9,137.833423
0.860058,15,138.031325
0.834514,18,138.321417
0.732303,31,138.717849
0.0,100,140.205134
0.913517,9,140.431951
0.689449,37,140.942534
0.61729,48,141.608374
0.642612,44,142.157264
0.0,100,143.528909
0.0,100,144.93435
0.662282,41,145.513462
0.0,100,146.883189
0.45661,78,147.922275
0.0,100,149.491224
0.0,100,150.842787
0.605006,50,151.503068
0.932065,7,151.672222
0.696413,36,152.185217
0.0,100,153.797895
0.605006,50,154.540119
0.0,100,155.887014
0.0,100,157.230087
0.675729,39,157.750317
0.826169,19,158.034239
0.689449,37,158.613017
0.754719,28,159.064813
0.0,100,160.445442
0.0,100,161.901359
0.0,100,163.332731
0.868746,14,163.537386
0.777821,25,163.883186
0.0,100,165.275182
0.515137,66,166.183466
0.0,100,167.577008
0.0,100,168.996739
0.809728,21,169.313062
0.0,100,170.710805
0.809728,21,170.995561
0.0,100,172.424536
0.0,100,173.858056
0.842943,17,174.078221
0.0,100,175.536996
0.0,100,176.906464
0.0,100,178.274733
0.877521,13,178.470931
0.877521,13,178.628883
0.785678,24,178.96405
0.913517,9,179.093373
0.904382,10,179.232714
0.0,100,180.734147
0.95099,5,180.81071
0.913517,9,180.953111
0.95099,5,181.033766
0.0,100,182.451415
0.0,100,183.831091
0.842943,17,184.051284
0.72498,32,184.571424
0.877521,13,184.743723
0.0,100,186.244621
0.0,100,187.761276
0.611117,49,188.489241
0.904382,10,188.628752
0.860058,15,188.841365
0.877521,13,189.057796
0.970299,3,189.079594
0.9801,2,189.13833
0.0,100,190.882895
0.649103,43,191.494077
0.913517,9,191.624722
0.95099,5,191.698079
0.817907,20,191.994023
0.732303,31,192.4667
0.675729,39,193.029392
0.94148,6,193.107585
0.777821,25,193.492074
0.860058,15,193.74164
0.0,100,195.229493
0.95099,5,195.300224
0.703448,35,195.839564
0.0,100,197.433289
