#{"t_start": 1732110953.2425659, "env_id": "None"}
r,l,t
0.0,100,4.872132
0.0,100,6.229708
0.0,100,7.581013
0.0,100,8.877172
0.0,100,10.183389
0.0,100,11.508336
0.0,100,12.832785
0.0,100,14.13581
0.0,100,15.435719
0.0,100,16.73557
0.0,100,18.044575
0.0,100,19.350053
0.0,100,20.646009
0.0,100,21.958334
0.0,100,23.260157
0.0,100,24.584931
0.0,100,25.912466
0.0,100,27.233487
0.0,100,28.579724
0.0,100,30.115974
0.0,100,31.879623
0.0,100,33.263363
0.0,100,34.741412
0.0,100,36.104007
0.0,100,37.573734
0.0,100,39.402058
0.0,100,40.950355
0.0,100,42.389838
0.0,100,43.779433
0.0,100,45.280125
0.0,100,46.659102
0.0,100,47.965549
0.0,100,49.460908
0.0,100,50.961728
0.0,100,52.419917
0.0,100,53.854122
0.0,100,55.20586
0.0,100,56.564518
0.0,100,57.998226
0.0,100,59.432889
0.0,100,60.786159
0.0,100,62.231648
0.0,100,63.753886
0.0,100,65.204797
0.0,100,66.638373
0.0,100,68.207598
0.0,100,69.564182
