#{"t_start": 1731583707.8743422, "env_id": "None"}
r,l,t
0.0,100,2.25373
0.0,100,3.452122
0.72498,32,3.858267
0.377237,97,5.010212
0.801631,22,5.292794
0.0,100,6.500244
0.662282,41,6.985095
0.842943,17,7.182896
0.0,100,8.411726
0.649103,43,8.940345
0.710553,34,9.351966
0.860058,15,9.532851
0.877521,13,9.68071
0.623525,47,10.269271
0.9801,2,10.281063
0.717731,33,10.684689
0.0,100,11.88283
0.842943,17,12.086132
0.932065,7,12.156844
0.785678,24,12.448956
0.732303,31,12.81435
0.0,100,14.018107
0.587037,53,14.66902
0.834514,18,14.894628
0.0,100,16.090168
0.636185,45,16.636667
0.0,100,17.870865
0.0,100,19.070937
0.868746,14,19.211874
0.793614,23,19.507033
0.809728,21,19.756379
0.0,100,20.95736
0.770043,26,21.265937
0.0,100,22.466714
0.732303,31,22.859363
0.970299,3,22.878004
0.689449,37,23.553543
0.0,100,24.773252
0.598956,51,25.381889
0.860058,15,25.574342
0.7397,30,25.937222
0.0,100,27.176359
0.0,100,28.373448
0.0,100,29.56838
0.94148,6,29.634734
0.777821,25,29.938357
0.0,100,31.144608
0.598956,51,31.777021
0.817907,20,32.013434
0.0,100,33.239806
0.0,100,34.435293
0.826169,19,34.721313
0.886385,12,34.851003
0.913517,9,34.96324
0.0,100,36.157682
0.7397,30,36.531151
0.801631,22,36.81017
0.0,100,38.005858
0.817907,20,38.244017
0.834514,18,38.451808
0.932065,7,38.555424
0.0,100,39.759451
0.0,100,40.972801
0.904382,10,41.091979
0.642612,44,41.593449
0.0,100,42.793185
0.809728,21,43.064948
0.868746,14,43.209989
0.0,100,44.414016
0.0,100,45.622251
0.0,100,46.842232
0.895338,11,46.999026
0.895338,11,47.123996
0.94148,6,47.187152
0.61729,48,47.775425
0.9801,2,47.786617
0.0,100,48.987292
0.592966,52,49.597652
0.0,100,50.802839
0.95099,5,50.863244
0.785678,24,51.15575
0.913517,9,51.268251
0.0,100,52.458103
0.61729,48,53.086989
0.0,100,54.283454
0.0,100,55.490482
0.470587,75,56.396309
0.0,100,57.595035
0.0,100,58.792212
0.675729,39,59.226149
0.0,100,60.421966
0.0,100,61.624736
0.689449,37,62.094316
0.0,100,63.299189
0.0,100,64.514311
0.0,100,65.720721
0.541685,61,66.437983
0.0,100,67.640846
0.689449,37,68.080296
0.0,100,69.276764
0.0,100,70.514199
0.877521,13,70.685214
0.717731,33,71.105932
0.777821,25,71.400662
0.717731,33,71.77712
0.970299,3,71.827617
0.747172,29,72.181124
0.0,100,73.381671
0.94148,6,73.44437
0.793614,23,73.696506
0.689449,37,74.164434
0.817907,20,74.401834
0.0,100,75.608693
0.592966,52,76.222937
0.868746,14,76.398368
0.0,100,77.596603
0.0,100,78.791863
0.682555,38,79.267579
0.826169,19,79.462814
0.747172,29,79.826075
0.0,100,81.030086
0.754719,28,81.375606
0.668972,40,81.849517
0.842943,17,82.040869
0.913517,9,82.153334
0.0,100,83.349512
0.970299,3,83.396644
0.0,100,84.626023
0.598956,51,85.232487
0.970299,3,85.251578
0.777821,25,85.547509
0.0,100,86.759698
0.817907,20,87.00156
0.868746,14,87.183233
0.642612,44,87.71736
0.868746,14,87.885906
0.509986,67,88.712502
0.0,100,89.923906
0.0,100,91.131921
0.922745,8,91.240894
0.48989,71,92.090572
0.785678,24,92.380232
0.94148,6,92.446323
0.0,100,93.649924
0.0,100,94.856205
0.0,100,96.065205
0.0,100,97.264526
0.587037,53,97.919389
0.826169,19,98.124955
0.834514,18,98.34986
0.922745,8,98.457013
0.770043,26,98.762423
0.932065,7,98.834826
0.960596,4,98.886794
0.0,100,100.110242
0.0,100,101.341717
0.0,100,102.540766
0.0,100,103.750912
0.0,100,104.966043
0.0,100,106.212446
0.0,100,107.414139
0.793614,23,107.705829
0.0,100,108.901761
0.61729,48,109.462897
0.42559,85,110.486401
0.809728,21,110.736571
0.0,100,111.93473
