#{"t_start": 1731411588.7914114, "env_id": "None"}
r,l,t
0.0,100,2.406163
0.0,100,3.616672
0.0,100,4.861295
0.0,100,6.18204
0.689449,37,6.677579
0.0,100,8.158758
0.0,100,9.514763
0.396678,92,10.690641
0.611117,49,11.31178
0.860058,15,11.493188
0.834514,18,11.727368
0.0,100,12.939494
0.703448,35,13.357981
0.605006,50,13.968178
0.0,100,15.265602
0.689449,37,15.706655
0.0,100,16.97474
0.809728,21,17.223252
0.793614,23,17.516258
0.662282,41,18.003863
0.922745,8,18.112669
0.99,1,18.118326
0.563905,57,18.788928
0.655659,42,19.321787
0.826169,19,19.521469
0.0,100,20.830193
0.770043,26,21.216872
0.868746,14,21.373946
0.0,100,22.614802
0.0,100,23.863733
0.932065,7,23.972229
0.0,100,25.211817
0.649103,43,25.728148
0.793614,23,26.022465
0.95099,5,26.08563
0.0,100,27.338662
0.732303,31,27.780714
0.0,100,29.112428
0.675729,39,29.664782
0.895338,11,29.798542
0.0,100,31.152169
0.851458,16,31.350186
0.0,100,32.6928
0.0,100,33.980324
0.0,100,35.339249
0.0,100,36.840922
0.0,100,38.173148
0.0,100,39.595495
0.0,100,41.041775
0.747172,29,41.468837
0.0,100,42.965696
0.0,100,44.491172
0.72498,32,45.057632
0.762343,27,45.421968
0.0,100,47.152602
0.913517,9,47.319105
0.801631,22,47.632536
0.61729,48,48.418974
